combo,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events,day_share
正无正,9535,0.005170491066936151,0.0,0.08077627471947485,0.49743051914001046,-0.039533461471256304,0.040051103209502004,9520,0.013868212391689824,0.0035321629065514504,0.11838086587433187,0.5156512605042017,-0.05289023379319166,0.06457969127392715,9437,0.030011372977645025,0.005952380952380931,0.17844632895518414,0.5180671823672778,-0.0763636363636363,0.10512820512820498,9371,0.06947344385229626,0.015390893867924582,0.27761145362652745,0.5374026251200512,-0.09466839407495875,0.16607837442070705,9546,0.009374344032239903
正无负,2161,0.01251009122510703,0.0,0.09193525894919828,0.4993058769088385,-0.035040431266846306,0.03981264637002346,2159,0.019316381437199766,0.010983981693363898,0.09860115641720822,0.5622973598888374,-0.037895816608687904,0.06173894188020812,2152,0.03794969668169855,0.019345926072694475,0.15284085336395836,0.5613382899628253,-0.05498171735761337,0.10872188665389981,2082,0.046671312389959155,0.015609676399246042,0.21082463270452906,0.5393852065321806,-0.07449269705035175,0.13355704462449486,2161,0.001899613126722893
正正无,27582,0.007907719171110833,-0.0019398660344699392,0.07738479948240146,0.48056703647306215,-0.032466068647312885,0.0340186422660102,27472,0.01301126199946319,0.0012614599519285008,0.10736898430727596,0.5047320908561445,-0.04251672607863452,0.04968639887244525,27370,0.024081015009332477,0.0029945101477576452,0.15950340527821658,0.5106320789185239,-0.06256628412624698,0.07959545140142149,27076,0.0429518777497854,0.0036574713063005637,0.24279048136129266,0.5085684739252474,-0.09099383762572391,0.12129549768819375,27629,0.036638275571100304
正正正,30505,0.009953556405170287,-0.0013131976362442677,0.10121619332635846,0.48936239960662187,-0.04524886877828049,0.049173553719008334,30486,0.020044090134707617,0.0011750391200293642,0.14329105910954834,0.5037394213737453,-0.059212341030951854,0.07311006077350163,30419,0.03258732541371194,0.0008375209380235837,0.20732595322049077,0.5016272724284164,-0.0848391691526646,0.10981320507856118,30317,0.05548117834693048,-0.003256315850144187,0.2974390305907835,0.49249595936273377,-0.11640624999999993,0.1515151515151516,30528,0.05293546875890552
正正负,220,0.025240854814673686,0.009851774798563473,0.09201478102755599,0.55,-0.03012822728100975,0.04987837220739083,220,0.024796392659763637,0.017934640270266367,0.0859318995201507,0.5818181818181818,-0.02161236143768902,0.05810331049585887,220,0.025056898176895888,0.025595245480600992,0.11474190417843812,0.5863636363636363,-0.048574922363455814,0.09897070259637791,186,0.052948450888148514,0.04328489443287098,0.1589664282215089,0.6182795698924731,-0.0485150398287956,0.1391304848834813,220,0.000209214618054735
正负无,1280,0.009684533495035957,0.006359445140939002,0.06353664557934666,0.55625,-0.02340185228434158,0.03927979757300659,1280,0.02333051737160627,0.015590277777777772,0.09691061212777333,0.60625,-0.02882693341396217,0.06488096875119453,1280,0.04972746370536073,0.03509612062906675,0.1411412503574885,0.6453125,-0.028695829186646094,0.11390968781885974,1274,0.05968430325750363,0.04058382384706771,0.18452425962393293,0.6145996860282574,-0.05111982776576701,0.13873070728489695,1280,0.0010286964608671354
正负正,12,0.03737368115384088,-0.003717206057295308,0.08961566795400842,0.5,-0.022693645779181787,0.08591791875411203,12,0.032275391309050626,0.0220519087500074,0.14284161170702298,0.5833333333333334,-0.03928430816071893,0.052295524243142766,12,-0.04865878868707493,-0.018305576394881007,0.15834664664631168,0.4166666666666667,-0.10279455201402907,0.04946125712939603,11,0.019750537598078877,-0.05370496261046909,0.26679143605452643,0.36363636363636365,-0.08554873427203336,0.1395931803806566,12,8.340782115138937e-06
正负负,1058,0.008560063914774076,0.004237132352941209,0.07171870914763497,0.5340264650283554,-0.02942131246737531,0.04827653283535638,1058,0.025044648659305214,0.014573616866341843,0.09608469905953691,0.5699432892249527,-0.028602982734902388,0.0687526201788709,1058,0.06477337196206966,0.03364986028302608,0.1507933326484536,0.6446124763705104,-0.026019799618320516,0.14115656154234069,1046,0.06754561111339508,0.04499588619305794,0.18254975744082075,0.6233269598470363,-0.04695242606041464,0.1500430891259627,1058,0.0008688314703269726
负无无,74287,0.0037920206004432165,0.00042571306939120923,0.0641312575263754,0.5010970963964085,-0.02870568154228359,0.03231024897298196,73966,0.006918856120186195,0.0,0.09008803900709164,0.49399724197604306,-0.04132037403484268,0.04534578410541951,73410,0.017438984624579313,0.0,0.13800971012007898,0.49953684784089364,-0.05929967281389675,0.0715338290436009,72835,0.03627569369342564,0.0035405417956657637,0.2104219630783545,0.5093842246172856,-0.08257517396812875,0.11223330768018236,74676,0.0836531791586097
负无正,6591,0.008071573227970376,0.004796163069544557,0.08624681574551107,0.5295099377939615,-0.03512676681570326,0.0514898718174267,6591,0.008517983027488896,0.002454991816693841,0.12647514002558216,0.5114550144135943,-0.055694362496099714,0.06421927652843673,6575,0.02242185002708264,-0.0014903129657227732,0.18937810220405618,0.4955133079847909,-0.07851716832401273,0.09166762028277908,6560,0.03724571102235893,-0.008411677799205097,0.27476941268760247,0.4791158536585366,-0.11560033771917105,0.1289730040072789,6595,0.005620992080427382
负无负,4675,0.007542801445666544,0.002572898799313883,0.07833420042723585,0.5146524064171123,-0.032596634631209986,0.042761739640953644,4642,0.017181054672969213,0.004845670008467251,0.11183556654225117,0.522404136148212,-0.044865186360031645,0.06398544508201709,4529,0.02863693455606601,0.005688282138794021,0.15467023253576517,0.5206447339368514,-0.06594439911152694,0.09993753903810121,4366,0.058041888213799686,0.019452009922738656,0.2351340727365061,0.5471827759963354,-0.08176451170585544,0.15434809500247398,4692,0.004455367779836715
负正无,1691,0.017698947643413718,0.008333333333333304,0.06943247924788482,0.5789473684210527,-0.02272317476969482,0.047028847382204364,1687,0.028242391895504593,0.01642129105322776,0.10628996950404002,0.5969176052163604,-0.03184507042253509,0.07035091264228466,1686,0.07013653551857219,0.035117946485787255,0.19582722671889943,0.6156583629893239,-0.04148395379935671,0.1375380023100225,1682,0.06464547218000215,0.019763284502513412,0.24236119412952256,0.5511296076099881,-0.07045257517046155,0.14710695006747632,1695,0.001372058657940355
负正正,3434,0.019997023988868524,0.006070417829487695,0.1056046754061538,0.5445544554455446,-0.035780311769751855,0.060185428338002,3433,0.02003436994360154,0.004746835443037778,0.14198991135657837,0.515292746868628,-0.05779376498800981,0.07851690294438396,3430,0.03359197771141707,-0.001283342893020345,0.22903612983094768,0.49620991253644314,-0.08734307371389816,0.1201115349977186,3428,0.03727146946834395,-0.01818829279489098,0.29023631498312885,0.46586931155192535,-0.13340976885082112,0.1314248746363414,3435,0.0029595875205217993
负正负,2,0.05437047342635004,0.05437047342635004,0.02191822030165043,1.0,0.046621212322931205,0.06211973452976888,2,0.05666870806262636,0.05666870806262636,0.027649012359475155,1.0,0.04689330599637859,0.06644411012887413,2,0.021845710405794083,0.021845710405794083,0.015455487245886475,1.0,0.01638137048673982,0.027310050324848345,1,0.1707317073170731,0.1707317073170731,,1.0,0.1707317073170731,0.1707317073170731,2,1.3901303525231562e-06
负负无,27372,0.0047385348879819345,0.002930404503162176,0.06555729158219342,0.5206415314920356,-0.02928347017295299,0.03652873978371651,27292,0.010302072803863154,0.0036346371118923804,0.09333275433971533,0.5218012604426205,-0.03965639347465069,0.05073434054178588,27271,0.025510842947462982,0.009771986970684043,0.1432081600594653,0.5416376370503465,-0.051813726535523796,0.08147200314887582,26976,0.043354787560543714,0.015581598444939004,0.20569239459864824,0.5458926453143536,-0.07104452158196228,0.11640795378495145,27445,0.03617605722888635
负负正,1529,-0.006394111957818101,-0.000744786494538352,0.10662726918160204,0.49313276651406146,-0.05682642634242707,0.04788633573057366,1528,-0.01621953979861867,-0.007227134747551156,0.15057626318707032,0.4757853403141361,-0.08407853667441167,0.06126720455624113,1528,-0.0006551127443669397,-0.01277564592304481,0.18634921257810813,0.4574607329842932,-0.10317760646780719,0.08191366951221424,1503,0.012105007777893723,-0.020576131687242927,0.27058134866842887,0.458416500332668,-0.14050091340636056,0.10916974428213844,1530,0.0014401750452139898
负负负,11708,0.007618551373050146,0.003398963511084707,0.07693370361962842,0.5233173898189273,-0.03426810152333018,0.04258983105232822,11705,0.019766617635924005,0.007373271889400845,0.10877061599221577,0.5391712943186673,-0.039971448965025025,0.06346058502726826,11693,0.04136306084060189,0.02240325865580428,0.14628308334149165,0.5826562900880868,-0.04507042253521121,0.10342880124590326,11349,0.06431209966987284,0.03598281417830296,0.20637399682318294,0.5997885276235791,-0.05309734513274311,0.14312546957175054,11729,0.018496379405496855
