to_combo,direction,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events
无正无,换挡,1172,0.0030239256726789818,-7.677122791766985e-05,0.057993474885626395,0.4906143344709898,-0.028723446724892653,0.0294035391984624,1165,0.012866858671309923,0.0048076923076922,0.09259219329388395,0.5304721030042918,-0.0379310344827585,0.0511557408109131,1156,0.025758554353318044,0.00894901665343855,0.16428527224607045,0.5363321799307958,-0.05063399510919055,0.0798792938077694,1129,0.02981481663788852,-0.0006138735420504,0.2127932882465426,0.49689991142604073,-0.0911477869467367,0.1168141592920353,1174
无正无,降级,19432,0.004685385732568251,-0.00076417040102115,0.06355085311406083,0.48826677645121447,-0.029806259314456025,0.031606535321274304,19383,0.010945223250060913,0.000442477876106,0.09313182490899047,0.5005417118093174,-0.0417545760812674,0.04931151348532975,19299,0.021987656376611393,0.0023273855702095,0.14475524149591232,0.5073319861132701,-0.06018273935681995,0.07558576418389495,18955,0.045230440254170466,0.0014008872285782,0.23774171463761076,0.502400422052229,-0.0888915681261318,0.12307352991075955,19476
无正正,升级,11195,0.009214704900802841,0.0011923688394275,0.0974396131997637,0.5045109423849933,-0.03920784313725485,0.0454189353699677,11189,0.01602052243813106,0.0028625954198471,0.1296885233974886,0.5114844936991688,-0.0507999999999999,0.0653220049112204,11176,0.02826870564806505,0.0016508873819798,0.19079791434192805,0.5034001431639227,-0.07285455959885732,0.09352942438809031,11149,0.03585183535552484,-0.0096113664855829,0.26868715396829357,0.47421293389541663,-0.1109375,0.1100832562442182,11203
无正正,换挡,747,0.0037316417956448026,-0.0022909507445589,0.07841108843390338,0.47523427041499333,-0.0392902292378151,0.033963450460179595,747,0.01280207800440661,0.003116883116883,0.11017386838734614,0.5100401606425703,-0.05682311923849305,0.059371283069852204,746,0.02077303976417133,-0.00428363512458775,0.1657330238088984,0.4812332439678284,-0.07375126285325062,0.085202064998364,745,0.027529835808740695,-0.0226364846870839,0.24224380094487802,0.4483221476510067,-0.1097701149425286,0.1094049904030711,748
无正正,降级,20201,0.0065023399356177415,-0.0035126640783879,0.08760915282145014,0.47220434631948915,-0.0421766897285791,0.0425706099058533,20181,0.015306234355197079,7.241129616231134e-05,0.13037608854054583,0.5000247757791982,-0.0569605657621646,0.0653465346534654,20152,0.030165053263009608,0.00215066613552865,0.19739583548972697,0.5069968241365621,-0.07436698372422046,0.10284554417166053,20120,0.04532834553577078,-0.00789889908314115,0.28804524856735086,0.48175944333996024,-0.11556065965246727,0.13399243270547442,20215
无正负,升级,28,0.012832802710855188,0.00630322124961295,0.058947270139777366,0.5357142857142857,-0.018029112856698948,0.026263141530150125,28,-0.0062185729168920895,0.01399795151929,0.08443373208786126,0.6428571428571429,-0.046034646868456076,0.044888491592558796,28,-0.01409809778336642,-0.018039590175638998,0.11412867800339943,0.39285714285714285,-0.05021328413243745,0.0409854851031322,26,0.03751510525049344,0.0377740216076881,0.19033464770687802,0.5769230769230769,-0.05241092769634105,0.11593231887349531,28
无正负,换挡,17,0.022914647661711904,0.0033112582781456,0.07650413020182974,0.5882352941176471,-0.0181878306878305,0.0291438979963569,17,0.01892754188430868,0.0129598245439137,0.0762442762948879,0.5882352941176471,-0.0177182793582044,0.032833505687694,17,0.010181490606229686,-0.0470297029702968,0.13505491096245328,0.29411764705882354,-0.0821596244131455,0.0885714285714285,15,-0.00999604554480895,-0.0021620378974309,0.13678777440683404,0.4666666666666667,-0.10226529713344605,0.0450439337849826,17
无正负,降级,31,0.01780159540172732,0.0037901328,0.07826809070593621,0.5483870967741935,-0.02131623530237195,0.03281389023057175,31,0.018028903286491458,-0.0162507254788162,0.09280930699988764,0.4838709677419355,-0.0515266052632489,0.06439181277579226,31,0.0020380614962629937,-0.001313376,0.10656066123571149,0.4838709677419355,-0.048212721558120356,0.04159616699492815,26,-0.009816591926510547,-0.0502377692214319,0.16496226710836687,0.4230769230769231,-0.10348773889149718,0.07685537887821006,31
无负无,升级,17641,0.006839560392697009,0.0032237266279819,0.06489632856021231,0.5276344878408253,-0.0252225519287832,0.0325791855203621,17621,0.010344996412293582,0.0034782608695651,0.09089394732220131,0.5205720447193689,-0.0378947368421052,0.0478011472275334,17604,0.024447073001646502,0.0098991056319184,0.13381171055743848,0.5420927062031357,-0.0531420716461065,0.07807694650154504,17133,0.03924484780541957,0.0116731517509727,0.19654908261237714,0.5352827876028716,-0.0736953455571226,0.1121794871794872,17650
无负无,换挡,1628,-0.001578664484709772,-0.0015185408556754,0.06285318575453178,0.476044226044226,-0.031392028677617576,0.0280201114913299,1626,-0.0016409073785530505,-0.00791160748360255,0.0911364391646924,0.4440344403444034,-0.04992776415616153,0.03664447327085658,1622,0.007178827258031427,-0.0078266725031705,0.13325882933049923,0.4599260172626387,-0.06918815289228578,0.057305456410416705,1615,0.03093911270926114,-0.0074183976261126,0.2064886561081435,0.4761609907120743,-0.0905109026815179,0.09860873169383805,1632
