combo,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events,day_share
正无正,12469,0.004668967652802881,-0.002233567326100805,0.08097517979455328,0.4788675916272355,-0.03985507246376807,0.038598999285203606,12457,0.010721773205067031,-0.0016091954022987576,0.12177735236196363,0.48976479088062935,-0.055269922879177424,0.05675146771037198,12389,0.015468242075735193,-0.008422664624808673,0.18633698930080972,0.4713051900879813,-0.08803680981595097,0.08193832599118944,12349,0.04111772881402667,-0.004986642920748019,0.2597279682575897,0.4870029961940238,-0.10810810810810811,0.12691954324714527,12481,0.011844552771978815
正无负,7463,0.014419567287292335,0.004301075268817067,0.07892371867637955,0.5341015677341552,-0.024906877881939182,0.03856561160567096,7457,0.01983558015772542,0.011973180076628287,0.09363286436404594,0.5692637789995977,-0.03157894736842093,0.05957031249999978,7450,0.03729078006709379,0.021044341333896988,0.15108698733722364,0.5802684563758389,-0.04551611131256719,0.10218110105527967,7257,0.04232068899965496,0.016077170418006492,0.22507893929035633,0.5478848008819072,-0.0718635809987821,0.125091148395722,7465,0.007168216078445446
正正无,33910,0.008359776794431612,0.0,0.07311830949729485,0.4948687702742554,-0.03003566770775784,0.033979208127631944,33823,0.013611991473486193,0.0025878003696857554,0.10057806097594815,0.5137923897939272,-0.04094559836071443,0.05145379892056601,33609,0.025772424405045485,0.005097312326228121,0.1536084320217528,0.5194739504299444,-0.06002775850104103,0.08195364238410607,33075,0.05151319095027349,0.007416563658837916,0.25047727511494916,0.5187603930461073,-0.08729340533464258,0.12964222320041363,33973,0.04675050125372682
正正正,32584,0.009723702735758316,-0.000276257358059806,0.09623206216780882,0.49472133562484655,-0.04160475482912329,0.04545454545454547,32551,0.019479142045045517,0.0020712510356255542,0.1395104790592317,0.508770851893951,-0.05427319052381646,0.06765326080799228,32496,0.03099031512124818,0.001732983323057491,0.19974043576825148,0.5048005908419497,-0.0769230769230769,0.09997839239412265,32436,0.04845993940808611,-0.004405365267147909,0.28623131059913254,0.4892095202861019,-0.112509943663573,0.1361921199997994,32607,0.05536373651896639
正正负,152,0.0055261646375554295,-0.0015743150198229139,0.06183658980233851,0.46710526315789475,-0.0311728924839616,0.02593649964465561,152,0.004263974019640254,0.0030540263035243598,0.07995535279626771,0.5197368421052632,-0.04058411268118403,0.03693925876791232,152,0.016842861280697893,0.01092868102361777,0.13331850442398854,0.5263157894736842,-0.0728521545850839,0.0844342609694394,144,0.03677331840122751,0.020052457468338947,0.18328179464688263,0.5555555555555556,-0.04448409222909702,0.11738755125319855,152,0.00011714541673635577
正负无,1757,-0.0012454857554083567,-0.0026343519494202994,0.06092667479645768,0.45987478656801367,-0.03032345013477078,0.024074899687917872,1757,0.004944116024608576,0.000783085356303781,0.08574994594675407,0.5036994877632328,-0.04081632653061218,0.043147208121827596,1757,0.02631709341689282,0.01774123755949808,0.13163149533348473,0.5793966989186112,-0.048065650644783076,0.08097014925373136,1738,0.031028848029149365,0.013427827306420892,0.19599264085877363,0.5373993095512083,-0.07282824843080618,0.0984667703352759,1757,0.0012885995840999135
正负正,1,-0.010129431626336616,-0.010129431626336616,,0.0,-0.010129431626336616,-0.010129431626336616,1,-0.03882948790095675,-0.03882948790095675,,0.0,-0.03882948790095675,-0.03882948790095675,1,0.01294316263365225,0.01294316263365225,,1.0,0.01294316263365225,0.01294316263365225,1,0.04727068092290376,0.04727068092290376,,1.0,0.04727068092290376,0.04727068092290376,1,6.771411372043686e-07
正负负,2271,0.014652093636305118,0.009098207118009016,0.07480274253415,0.5715543813298106,-0.024384918015570356,0.048090079719310785,2271,0.033087178414214845,0.02092457420924565,0.10091969173097427,0.6177895200352268,-0.025757229078980926,0.07484090832405432,2271,0.06659182989237065,0.04037558685446019,0.17691835617279628,0.6591809775429326,-0.02673816019875025,0.1338011998048163,2253,0.068596090076515,0.0456960680127525,0.22161765171404962,0.6187305814469596,-0.04993252361673417,0.14908579465541494,2271,0.0018086439774728687
负无无,55390,0.003013900009072946,0.0,0.06360148234381596,0.4937894926882109,-0.029012496493064976,0.03151329321978508,55119,0.0050144067970831615,-0.002430133657351119,0.0907360131073093,0.4801611059707179,-0.043414256869762635,0.043711383070858756,54597,0.013706637144715286,-0.003866976024748614,0.1387007184861866,0.48112533655695366,-0.06277777777777771,0.06808510638297882,54202,0.031561740122939885,-0.0016669029989384576,0.2134965756141037,0.49348732519095234,-0.08786489950903328,0.1078284948160535,55689,0.05623724858596002
负无正,10128,0.0070264099462181056,0.004760711899990389,0.0837690736309115,0.532780410742496,-0.03429008969590902,0.046877865550079445,10125,0.006778336558764024,0.0022556390977441776,0.12097497226161655,0.5102222222222222,-0.05108991825613085,0.05987480722126448,10115,0.01952477011320766,-0.0021023125437982237,0.18784574682252675,0.4907563025210084,-0.07446081850947567,0.0818943513103303,10081,0.03306246101301245,-0.00802644003777131,0.25783193357978273,0.4796151175478623,-0.1055753262158956,0.11398026315789478,10136,0.009377050468006097
负无负,9497,0.0015627270844445326,-0.0008510638297871687,0.06335226678652561,0.4887859323997052,-0.032631144155307656,0.03274853801169608,9444,0.007465866053474217,-9.235315847799797e-05,0.10001283536073009,0.49354087251164763,-0.045154506360706365,0.04658583280153161,9269,0.010878560016912628,-0.002586206896551757,0.13501559878354305,0.4861365843133024,-0.06661141614006016,0.07201166180758034,9177,0.03919881695377638,0.010657155045118882,0.20062191691424963,0.5330718099596818,-0.07594070695553012,0.11999999999999988,9527,0.00914953104590543
负正无,2631,0.018678037071455388,0.009070294784580657,0.06912084498583514,0.5686050931204865,-0.0227618145318908,0.05088048577276261,2627,0.030312544613340424,0.01705756929637503,0.10125391787631269,0.5892653216596878,-0.029384122073097707,0.07459801718308734,2622,0.057523913220874474,0.03093203150134982,0.1663614369472628,0.6041189931350115,-0.0435640409783834,0.125532001563391,2594,0.06081254629514372,0.021691208503964443,0.2341510577383543,0.5582112567463376,-0.07951479978221052,0.1477853017604726,2635,0.0020144948831829967
负正正,4050,0.01944285856608089,0.008198429208521318,0.09810224771046394,0.5597530864197531,-0.0327831543759374,0.05757581955021429,4048,0.022399626581614925,0.010652109520192354,0.13461242908184518,0.5469367588932806,-0.05103126356925758,0.07530168995936165,4044,0.04518587259967868,0.010353240311616996,0.22464083300883864,0.5373392680514342,-0.0729569372884209,0.1261172246090414,4041,0.040366256721657494,-0.0065296251511488546,0.27480798951675833,0.483791140806731,-0.11678957297204606,0.12939521800281306,4052,0.0033091887375177494
负正负,3,0.020245174843556923,0.014218009478673022,0.050622174521763715,0.6666666666666666,-0.006437793290220151,0.04391456029489205,3,0.030259969597688174,-0.028436018957345932,0.11555556346814963,0.3333333333333333,-0.036301342812006365,0.06747328772986566,3,0.07156671560781709,0.0781990521327014,0.12810160290424086,0.6666666666666666,0.009238414955239582,0.13721118452283676,3,0.041100376051348496,-0.023696682464454888,0.2084177658735716,0.3333333333333333,-0.0754594523433385,0.1252616751881338,3,2.031423411613106e-06
负负无,31827,0.003656683885127463,0.002235564639754717,0.06450526141922695,0.5173280547962422,-0.028632109042097897,0.033069870277495084,31771,0.007085170201804122,0.0017971936130507515,0.08845827383124256,0.5095212615278084,-0.04016342377821541,0.04642067941186645,31717,0.020419143067746417,0.006445215666831983,0.13344237793935218,0.5269413878992338,-0.05531914893617018,0.07568886508875727,31149,0.03966464033885941,0.010104412260020013,0.20674891426310626,0.5302577931875823,-0.07667210440456773,0.11285266457680243,31957,0.041762679637079435
负负正,134,-0.01618096064913498,0.0008960573476702871,0.09580709419775289,0.5,-0.051073718544976526,0.04470529682871538,134,-0.023747641443585914,-0.009010355244664814,0.1268522156855019,0.44029850746268656,-0.07202274688732022,0.05496811591490719,134,0.0062218969716351345,0.004341866066510436,0.16568988698626755,0.5149253731343284,-0.09295228578021361,0.08779227239718151,131,0.020231419256760367,-0.02351961775882827,0.31346108395821154,0.45038167938931295,-0.1438601700857028,0.10328633821848365,134,0.00010089402944345093
负负负,20691,0.003219178412369959,0.0,0.06882325505037193,0.49997583490406455,-0.03395492759740909,0.03552738641004061,20638,0.011172091140888024,0.002568209279714906,0.09702503889110942,0.5134218432018607,-0.0431590082399228,0.051797853992707255,20613,0.029692206177052406,0.014480408858603244,0.1401434740449828,0.55731819725416,-0.05215053763440869,0.08972267536704726,20413,0.05358751489145454,0.02582496413199431,0.20920113772269183,0.5767403125459266,-0.06056616194865039,0.1270125223613594,20752,0.03443601253252817
