symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
561380.SH,国泰恒生A股电网设备ETF,恒生A股电网设备,恒生A股电网设备指数收益率×100%,被动指数型,国泰基金管理有限公司,20241223,nan,L,0.5,0.1,46.52,Y,1,2026,2026,2026,1.9563,2026,1.9563,Y,恒生A股电网设备,恒生A股电网设备
510900.SH,易方达恒生中国企业ETF(QDII),恒生中国企业,恒生中国企业指数×100%,被动指数型,易方达基金管理有限公司,20121022,nan,L,0.6,0.15,33.72,Y,12,2015,2026,2020,15.9439,2026,1.9499,Y,恒生中国企业,恒生中国企业
520990.SH,景顺长城中证国新港股通央企红利ETF,中证国新港股通央企红利,中证国新港股通央企红利指数收益率(使用估值汇率折算)×100%,被动指数型,景顺长城基金管理有限公司,20240710,nan,L,0.5,0.1,34.93,Y,3,2024,2026,2026,1.9062,2026,1.9062,Y,中证国新港股通央企红利,跨境-港股红利
512200.SH,南方中证全指房地产ETF,中证全指房地产,中证全指房地产指数×100%,被动指数型,南方基金管理股份有限公司,20170925,nan,L,0.5,0.1,37.33,Y,7,2020,2026,2024,2.83,2026,1.8931,Y,中证全指房地产,中证全指房地产
516510.SH,易方达中证云计算与大数据主题ETF,中证云计算与大数据主题,中证云计算与大数据主题指数收益率×100%,被动指数型,易方达基金管理有限公司,20210407,nan,L,0.15,0.05,26.12,Y,4,2023,2026,2025,2.1201,2026,1.8554,Y,中证云计算与大数据主题,云计算软件
520870.SH,易方达伊塔乌巴西IBOVESPAETF(QDII),巴西IBOVESPA,巴西IBOVESPA指数收益率(使用估值汇率折算)×100%,被动指数型,易方达基金管理有限公司,20251113,nan,L,0.5,0.1,5.55,Y,1,2026,2026,2026,1.8267,2026,1.8267,Y,巴西IBOVESPA,巴西IBOVESPA
588020.SH,易方达上证科创板成长ETF,上证科创板成长,上证科创板成长指数收益率×100%,被动指数型,易方达基金管理有限公司,20230831,nan,L,0.5,0.1,18.83,Y,2,2025,2026,2026,1.8118,2026,1.8118,Y,上证科创板成长,上证科创板成长
560280.SH,广发中证工程机械主题ETF,中证工程机械主题,中证工程机械主题指数收益率×100%,被动指数型,广发基金管理有限公司,20231030,nan,L,0.5,0.1,22.61,Y,1,2026,2026,2026,1.8107,2026,1.8107,Y,中证工程机械主题,机械
513200.SH,易方达中证港股通医药卫生综合ETF,中证港股通医药卫生综合,中证港股通医药卫生综合指数收益率(使用估值汇率折算)×100%,被动指数型,易方达基金管理有限公司,20220211,nan,L,0.15,0.05,9.54,Y,4,2023,2026,2025,2.8428,2026,1.7884,Y,中证港股通医药卫生综合,跨境-港股医药
513290.SH,汇添富纳斯达克生物科技ETF(QDII),经人民币汇率调整的纳斯达克生物科技,经人民币汇率调整的纳斯达克生物科技指数收益率×100%,被动指数型,汇添富基金管理股份有限公司,20220829,nan,L,0.5,0.15,18.49,Y,3,2024,2026,2026,1.721,2026,1.721,Y,纳斯达克生物科技,跨境-美股行业
