symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
159972.SZ,鹏华中证5年期地方政府债ETF,中证5年期地方政府债,中证5年期地方政府债指数收益率×100%,被动指数型,鹏华基金管理有限公司,20191108,nan,L,0.15,0.05,79.75,Y,3,2024,2026,2026,15.1979,2026,15.1979,Y,中证5年期地方政府债,中证5年期地方政府债
159518.SZ,嘉实标普石油天然气勘探及生产精选行业ETF(QDII),经估值汇率调整后的标普石油天然气勘探及生产精选行业,经估值汇率调整后的标普石油天然气勘探及生产精选行业指数收益率×100%,被动指数型,嘉实基金管理有限公司,20231115,nan,L,0.5,0.1,21.0,Y,2,2025,2026,2026,14.9361,2026,14.9361,Y,标普石油天然气勘探及生产精选行业,跨境-美股行业
512400.SH,南方中证申万有色金属ETF,中证申万有色金属,中证申万有色金属指数×100%,被动指数型,南方基金管理股份有限公司,20170901,nan,L,0.5,0.1,276.41,Y,7,2020,2026,2026,14.8232,2026,14.8232,Y,中证申万有色金属,有色金属
159206.SZ,永赢国证商用卫星通信产业ETF,国证商用卫星通信产业,国证商用卫星通信产业指数收益率×100%,被动指数型,永赢基金管理有限公司,20250314,nan,L,0.5,0.1,132.58,Y,2,2025,2026,2026,13.9532,2026,13.9532,Y,国证商用卫星通信产业,通信
511220.SH,海富通上证城投债ETF,上证城投债,上证城投债指数收益率×100%,被动指数型,海富通基金管理有限公司,20190424,nan,L,0.15,0.05,552.75,Y,5,2022,2026,2026,13.7223,2026,13.7223,Y,上证城投债,上证城投债
159326.SZ,华夏中证电网设备主题ETF,中证电网设备主题,中证电网设备主题指数收益率×100%,被动指数型,华夏基金管理有限公司,20240909,nan,L,0.5,0.1,199.29,Y,2,2025,2026,2026,13.1372,2026,13.1372,Y,中证电网设备主题,电网设备
511010.SH,国泰上证5年期国债ETF,上证5年期国债,上证5年期国债指数×100%,被动指数型,国泰基金管理有限公司,20130325,nan,L,0.15,0.05,70.2,Y,14,2013,2026,2026,12.3139,2026,12.3139,Y,上证5年期国债,上证5年期国债
159941.SZ,广发纳斯达克100ETF(QDII),纳斯达克100,纳斯达克100指数×100%,被动指数型,广发基金管理有限公司,20150713,nan,L,0.8,0.2,372.58,Y,6,2020,2026,2026,12.1773,2026,12.1773,Y,纳斯达克100,纳斯达克100
159981.SZ,建信易盛郑商所能源化工期货ETF,易盛郑商所能源化工指数A,易盛郑商所能源化工指数A收益率×100%,能源化工期货型,建信基金管理有限责任公司,20200117,nan,L,0.5,0.1,30.1,Y,2,2025,2026,2026,11.9548,2026,11.9548,Y,易盛郑商所能源化工指数A,易盛郑商所能源化工指数A
511060.SH,海富通上证5年期地方政府债ETF,上证5年期地方政府债,上证5年期地方政府债指数收益率×100%,被动指数型,海富通基金管理有限公司,20191212,nan,L,0.15,0.05,23.3,Y,5,2022,2026,2026,11.8055,2026,11.8055,Y,上证5年期地方政府债,上证5年期地方政府债
