symbol,name,theme,year,bars,avg_daily_amount_yi,qualifies
517170.SH,华夏中证沪港深500ETF,中证沪港深500,2026,177,0.0063,
517180.SH,南方富时中国国企开放共赢ETF,富时中国国企开放共赢,2022,242,0.0538,
517180.SH,南方富时中国国企开放共赢ETF,富时中国国企开放共赢,2023,242,0.4637,
517180.SH,南方富时中国国企开放共赢ETF,富时中国国企开放共赢,2024,242,0.6875,Y
517180.SH,南方富时中国国企开放共赢ETF,富时中国国企开放共赢,2025,243,0.2706,
517180.SH,南方富时中国国企开放共赢ETF,富时中国国企开放共赢,2026,177,0.1115,
517200.SH,嘉实中证沪港深互联网ETF,中证沪港深互联网,2021,218,0.0732,
517200.SH,嘉实中证沪港深互联网ETF,中证沪港深互联网,2022,242,0.0379,
517200.SH,嘉实中证沪港深互联网ETF,中证沪港深互联网,2023,242,0.0347,
517200.SH,嘉实中证沪港深互联网ETF,中证沪港深互联网,2024,242,0.0228,
517200.SH,嘉实中证沪港深互联网ETF,中证沪港深互联网,2025,243,0.027,
517200.SH,嘉实中证沪港深互联网ETF,中证沪港深互联网,2026,177,0.0235,
517270.SH,浦银安盛中证沪港深科技龙头ETF,中证沪港深科技龙头,2022,236,0.0551,
517270.SH,浦银安盛中证沪港深科技龙头ETF,中证沪港深科技龙头,2023,242,0.0159,
517280.SH,天弘中证沪港深线上消费主题ETF,中证沪港深线上消费主题,2022,242,0.151,
517280.SH,天弘中证沪港深线上消费主题ETF,中证沪港深线上消费主题,2023,242,0.1417,
517280.SH,天弘中证沪港深线上消费主题ETF,中证沪港深线上消费主题,2024,122,0.0726,
517300.SH,国寿安保中证沪港深300ETF,中证沪港深300,2021,211,0.1086,
517300.SH,国寿安保中证沪港深300ETF,中证沪港深300,2022,242,0.0281,
517300.SH,国寿安保中证沪港深300ETF,中证沪港深300,2023,242,0.0191,
517300.SH,国寿安保中证沪港深300ETF,中证沪港深300,2024,242,0.0233,
517300.SH,国寿安保中证沪港深300ETF,中证沪港深300,2025,243,0.0263,
517300.SH,国寿安保中证沪港深300ETF,中证沪港深300,2026,177,0.1087,
517330.SH,易方达中证长江保护主题ETF,中证长江保护主题,2022,241,0.0191,
517330.SH,易方达中证长江保护主题ETF,中证长江保护主题,2023,241,0.0169,
517330.SH,易方达中证长江保护主题ETF,中证长江保护主题,2024,240,0.0104,
517330.SH,易方达中证长江保护主题ETF,中证长江保护主题,2025,242,0.0024,
517330.SH,易方达中证长江保护主题ETF,中证长江保护主题,2026,177,0.004,
517350.SH,广发中证沪港深科技龙头ETF,中证沪港深科技龙头,2021,144,0.0362,
517350.SH,广发中证沪港深科技龙头ETF,中证沪港深科技龙头,2022,242,0.0197,
517350.SH,广发中证沪港深科技龙头ETF,中证沪港深科技龙头,2023,242,0.0118,
517350.SH,广发中证沪港深科技龙头ETF,中证沪港深科技龙头,2024,242,0.0111,
517350.SH,广发中证沪港深科技龙头ETF,中证沪港深科技龙头,2025,243,0.0182,
517350.SH,广发中证沪港深科技龙头ETF,中证沪港深科技龙头,2026,177,0.014,
517360.SH,华安中证沪港深科技100ETF,中证沪港深科技100,2021,123,0.046,
517360.SH,华安中证沪港深科技100ETF,中证沪港深科技100,2022,242,0.0188,
517360.SH,华安中证沪港深科技100ETF,中证沪港深科技100,2023,242,0.0178,
517360.SH,华安中证沪港深科技100ETF,中证沪港深科技100,2024,242,0.0144,
517360.SH,华安中证沪港深科技100ETF,中证沪港深科技100,2025,243,0.0113,
517360.SH,华安中证沪港深科技100ETF,中证沪港深科技100,2026,177,0.0043,
517380.SH,天弘恒生沪深港创新药精选50ETF,恒生沪深港创新药精选50,2021,98,0.1381,
517380.SH,天弘恒生沪深港创新药精选50ETF,恒生沪深港创新药精选50,2022,242,0.0758,
