symbol,year,bars,avg_daily_amount_yi,total_amount_yi
530280.SH,2025,227,0.0267,6.05
530280.SH,2026,177,0.0036,0.65
588950.SH,2025,227,0.1042,23.66
588950.SH,2026,177,0.4634,82.02
588760.SH,2025,228,2.2662,516.7
588760.SH,2026,177,2.4729,437.71
561880.SH,2025,227,0.076,17.25
561880.SH,2026,177,0.0406,7.18
512080.SH,2025,230,0.8195,188.48
512080.SH,2026,177,0.3308,58.56
511070.SH,2025,229,62.4543,14302.04
511070.SH,2026,177,70.2475,12433.81
159370.SZ,2025,231,0.0593,13.7
159370.SZ,2026,177,0.0447,7.91
159379.SZ,2025,228,0.0844,19.24
159379.SZ,2026,177,0.0452,8.0
530080.SH,2025,228,0.1449,33.03
530080.SH,2026,177,0.0689,12.2
588930.SH,2025,235,1.1008,258.69
588930.SH,2026,177,0.8205,145.23
159378.SZ,2025,237,0.5055,119.81
159378.SZ,2026,177,0.4065,71.96
588790.SH,2025,238,3.7326,888.36
588790.SH,2026,177,3.6133,639.56
159375.SZ,2025,237,0.1624,38.48
159375.SZ,2026,177,0.1504,26.63
530300.SH,2025,237,0.0793,18.81
530300.SH,2026,177,0.054,9.56
159323.SZ,2025,239,0.9881,236.15
159323.SZ,2026,177,1.6063,284.32
159376.SZ,2025,236,0.2315,54.63
159376.SZ,2026,177,0.0777,13.75
159380.SZ,2025,239,0.1239,29.61
159380.SZ,2026,177,0.0926,16.39
588810.SH,2025,238,0.3786,90.11
588810.SH,2026,177,1.0022,177.38
530580.SH,2025,239,0.206,49.24
530580.SH,2026,177,0.1155,20.45
510040.SH,2025,241,0.0707,17.04
510040.SH,2026,177,0.0357,6.32
560190.SH,2025,241,0.019,4.58
560190.SH,2026,177,0.0143,2.52
530680.SH,2025,239,0.2164,51.71
530680.SH,2026,177,0.064,11.34
588820.SH,2025,241,0.1014,24.44
588820.SH,2026,177,0.3226,57.1
511160.SH,2025,241,4.34,1045.94
511160.SH,2026,177,2.1044,372.47
560380.SH,2024,3,0.606,1.82
560380.SH,2025,243,0.1081,26.28
560380.SH,2026,177,0.1131,20.02
520600.SH,2024,2,0.3951,0.79
520600.SH,2025,243,3.5316,858.17
520600.SH,2026,177,1.9612,347.13
530180.SH,2024,4,0.8819,3.53
530180.SH,2025,243,0.0442,10.75
530180.SH,2026,177,0.08,14.16
588750.SH,2024,4,0.5936,2.37
588750.SH,2025,243,1.2784,310.65
588750.SH,2026,177,2.9864,528.6
588230.SH,2024,6,0.4918,2.95
588230.SH,2025,243,0.5151,125.18
588230.SH,2026,177,1.6011,283.4
520500.SH,2024,3,0.6186,1.86
520500.SH,2025,243,6.2306,1514.05
520500.SH,2026,177,11.8579,2098.85
159320.SZ,2024,6,0.2743,1.65
159320.SZ,2025,242,0.0574,13.9
159320.SZ,2026,177,0.8681,153.65
561380.SH,2024,7,0.2534,1.77
561380.SH,2025,243,0.0983,23.88
