symbol,trade_date,fd_share,close
159350.SZ,20260831,13300.9642,1.557
159180.SZ,20260831,3315.5926,1.054
159007.SZ,20260831,18860.3274,0.9
159009.SZ,20260831,5939.2703,0.867
159619.SZ,20260831,7598.1007,0.94
159543.SZ,20260831,4219.6551,1.52
159855.SZ,20260831,18492.5236,0.773
159666.SZ,20260831,14083.2905,0.982
159209.SZ,20260831,220963.5053,1.16
159779.SZ,20260831,13586.9337,1.486
159960.SZ,20260831,7157.396,0.857
159738.SZ,20260831,13099.2667,2.07
159796.SZ,20260831,621046.755,0.832
159167.SZ,20260831,17654.9164,0.947
159196.SZ,20260831,22153.0324,1.269
159776.SZ,20260831,7896.8765,1.197
159681.SZ,20260831,103777.2337,1.59
159211.SZ,20260831,2168.3294,1.434
159807.SZ,20260831,91105.1428,0.928
159739.SZ,20260831,41716.123,0.816
159376.SZ,20260831,4592.2317,1.329
159383.SZ,20260831,5009.2486,1.686
159355.SZ,20260831,8423.4277,1.044
159359.SZ,20260831,68914.0424,1.282
159652.SZ,20260831,177732.0287,1.684
180202.SZ,20260831,30000.0,4.675
159258.SZ,20260831,133776.5664,1.103
159836.SZ,20260831,11774.7113,1.27
159612.SZ,20260831,46989.8651,2.074
159545.SZ,20260831,532660.3689,1.317
180401.SZ,20260831,60000.0,5.616
159603.SZ,20260831,262007.1922,1.678
159871.SZ,20260831,114173.2506,0.991
159698.SZ,20260831,160244.4378,0.958
159203.SZ,20260831,979.1913,1.354
159500.SZ,20260831,21893.8865,1.196
159968.SZ,20260831,6529.5098,10.442
159506.SZ,20260831,259053.6979,1.289
159231.SZ,20260831,33809.186,0.499
159227.SZ,20260831,472091.1199,1.015
159550.SZ,20260831,19582.8785,0.807
159696.SZ,20260831,282782.4034,2.034
159533.SZ,20260831,1445.8785,1.967
159589.SZ,20260831,24159.0005,1.128
159708.SZ,20260831,17852.8306,0.814
159938.SZ,20260831,723706.7236,0.643
159890.SZ,20260831,23259.0688,1.767
159512.SZ,20260831,10726.4855,1.034
159281.SZ,20260831,24623.3059,0.971
159292.SZ,20260831,17518.9531,1.184
159750.SZ,20260831,124761.8251,0.866
159758.SZ,20260831,134429.0777,1.141
