symbol,trade_date,fd_share,close
513820.SH,20260831,174566.9,1.255
512580.SH,20260831,56787.17,1.168
512170.SH,20260831,7169782.05,0.339
588520.SH,20260831,1295.7,1.427
510600.SH,20260831,1361.51,3.897
515750.SH,20260831,26414.05,2.076
515080.SH,20260831,708814.89,1.622
561080.SH,20260831,2425.0,1.202
511900.SH,20260831,18244.0,99.999
515230.SH,20260831,798169.09,0.709
512600.SH,20260831,168825.61,0.574
512550.SH,20260831,10790.6,1.822
530580.SH,20260831,5514.9,1.179
589980.SH,20260831,12912.2,1.882
515400.SH,20260831,159563.14,0.89
517380.SH,20260831,302032.63,0.854
563280.SH,20260831,520.66,1.416
588450.SH,20260831,6056.87,2.199
588470.SH,20260831,28390.7,0.847
589330.SH,20260831,17090.2,0.888
589360.SH,20260831,266317.4,0.868
589310.SH,20260831,31349.18,0.836
561250.SH,20260831,8075.22,1.046
512890.SH,20260831,2778011.08,1.192
516780.SH,20260831,240409.97,0.859
512070.SH,20260831,1652247.97,0.806
588300.SH,20260831,151621.05,1.128
512370.SH,20260831,29631.3,1.211
520720.SH,20260831,12194.2,0.743
551520.SH,20260831,21616.16,102.081
513130.SH,20260831,5663134.7,0.574
516650.SH,20260831,523546.48,1.904
560580.SH,20260831,44900.3,1.093
561180.SH,20260831,4960.96,1.314
512640.SH,20260831,2024.09,2.416
530880.SH,20260831,3983.6,1.153
561930.SH,20260831,18726.06,1.577
561780.SH,20260831,1935.58,1.584
512730.SH,20260831,5358.39,1.695
515050.SH,20260831,1719320.54,1.05
513170.SH,20260831,16457.3,1.631
516520.SH,20260831,79376.55,1.064
560150.SH,20260831,68227.93,1.142
562570.SH,20260831,30728.1,1.403
563350.SH,20260831,16999.76,1.416
562700.SH,20260831,10175.0,1.216
516800.SH,20260831,18230.8,0.999
517120.SH,20260831,57696.64,0.753
517900.SH,20260831,39499.35,1.553
563330.SH,20260831,3336.06,4.248
530100.SH,20260831,12069.6,1.172
563380.SH,20260831,87695.0,0.955
563980.SH,20260831,18896.7,0.978
520820.SH,20260831,5868.2,0.934
520530.SH,20260831,23477.6,0.814
516300.SH,20260831,4301.26,3.266
561990.SH,20260831,34064.92,1.034
513190.SH,20260831,99693.6,1.845
561230.SH,20260831,45047.78,1.335
562900.SH,20260831,23870.63,0.713
511260.SH,20260831,16883.65,135.694
512290.SH,20260831,316182.07,1.031
516110.SH,20260831,21062.31,1.111
530380.SH,20260831,13470.5,1.124
