symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative
588320.SH,广发中证科创创业50增强策略ETF,中证科创创业50,中证科创创业50指数收益率×100%,增强指数型,广发基金管理有限公司,20230106,nan,L,0.5,0.05,1.41,Y,0,,,2026,0.1014,2026,0.1014,
516460.SH,鹏华中证800自由现金流ETF,中证800自由现金流,中证800自由现金流指数收益率×100%,被动指数型,鹏华基金管理有限公司,20250428,nan,L,0.5,0.1,5.27,Y,0,,,2026,0.1012,2026,0.1012,
159023.SZ,万家中证畜牧养殖产业ETF,中证畜牧养殖产业,中证畜牧养殖产业指数收益率×100%,nan,万家基金管理有限公司,20260615,nan,L,0.5,0.1,0.45,Y,0,,,2026,0.1007,2026,0.1007,
159613.SZ,嘉实中证信息安全主题ETF,中证信息安全主题,中证信息安全主题指数收益率×100%,被动指数型,嘉实基金管理有限公司,20220127,nan,L,0.5,0.1,1.0,Y,0,,,2023,0.1004,2026,0.087,
159289.SZ,鹏华创业板综合ETF,创业板综合,创业板综合指数收益率×100%,被动指数型,鹏华基金管理有限公司,20250915,nan,L,0.15,0.05,0.43,Y,0,,,2025,0.1002,2026,0.0232,
512320.SH,工银瑞信MSCI中国A股ETF,MSCI中国A股人民币,MSCI中国A股人民币指数收益率×100%,被动指数型,工银瑞信基金管理有限公司,20200807,20240416,D,nan,nan,,Y,0,,,2020,0.1,2023,0.0089,
563200.SH,富国中证2000ETF,中证2000,中证2000指数收益率×100%,被动指数型,富国基金管理有限公司,20231018,nan,L,0.5,0.1,0.83,Y,0,,,2024,0.0999,2026,0.0883,
589050.SH,兴业上证科创板综合价格ETF,上证科创板综合价格,上证科创板综合价格指数收益率×100%,被动指数型,兴业基金管理有限公司,20250818,nan,L,0.15,0.05,0.65,Y,0,,,2025,0.0996,2026,0.0447,
516320.SH,华夏中证装备产业ETF,中证装备产业,中证装备产业指数收益率×100%,被动指数型,华夏基金管理有限公司,20210608,nan,L,0.5,0.1,0.81,Y,0,,,2021,0.0995,2026,0.0585,
159052.SZ,嘉实国证储能电池ETF,国证储能电池,国证储能电池指数收益率×100%,nan,嘉实基金管理有限公司,20260611,nan,L,0.5,0.1,1.63,Y,0,,,2026,0.0993,2026,0.0993,
560500.SH,鹏扬中证500质量成长ETF,中证500质量成长,中证500质量成长指数收益率×100%,被动指数型,鹏扬基金管理有限公司,20210901,nan,L,0.45,0.05,4.17,Y,0,,,2021,0.0992,2026,0.0412,
159686.SZ,易方达中证A100ETF,中证A100,中证A100指数收益率×100%,被动指数型,易方达基金管理有限公司,20230719,nan,L,0.15,0.05,1.0,Y,0,,,2026,0.0991,2026,0.0991,
515930.SH,永赢沪深300ETF,沪深300,沪深300指数收益率×100%,被动指数型,永赢基金管理有限公司,20200508,20230731,D,nan,nan,,Y,0,,,2020,0.099,2023,0.0108,
516060.SH,工银瑞信中证创新药产业ETF,中证创新药产业,中证创新药产业指数收益率×100%,被动指数型,工银瑞信基金管理有限公司,20210301,nan,L,0.45,0.07,1.75,Y,0,,,2026,0.0988,2026,0.0988,
159891.SZ,建信中证全指医疗保健设备与服务ETF,中证全指医疗保健设备与服务,中证全指医疗保健设备与服务指数收益率×100%,被动指数型,建信基金管理有限责任公司,20210615,nan,L,0.5,0.1,1.34,Y,0,,,2026,0.0984,2026,0.0984,
516230.SH,招商中证光伏产业ETF,中证光伏产业,中证光伏产业指数收益率×100%,被动指数型,招商基金管理有限公司,20260203,nan,L,0.5,0.1,5.74,Y,0,,,2026,0.0983,2026,0.0983,
563030.SH,易方达中证500增强策略ETF,中证500,中证500指数收益率×100%,增强指数型,易方达基金管理有限公司,20230313,nan,L,0.5,0.1,2.05,Y,0,,,2023,0.098,2026,0.0393,
517000.SH,银华中证沪港深500ETF,中证沪港深500,中证沪港深500指数收益率×100%,被动指数型,银华基金管理股份有限公司,20210305,nan,L,0.5,0.1,1.24,Y,0,,,2021,0.0978,2026,0.0147,
159056.SZ,富国中证全指医疗器械ETF,中证全指医疗器械,中证全指医疗器械指数收益率×100%,nan,富国基金管理有限公司,20260609,nan,L,0.5,0.1,0.67,Y,0,,,2026,0.0976,2026,0.0976,
159392.SZ,富国国证通用航空产业ETF,国证通用航空产业,国证通用航空产业指数收益率×100%,被动指数型,富国基金管理有限公司,20250514,nan,L,0.5,0.1,1.77,Y,0,,,2026,0.0971,2026,0.0971,
159231.SZ,华宝国证通用航空产业ETF,国证通用航空产业,国证通用航空产业指数收益率×100%,被动指数型,华宝基金管理有限公司,20250429,nan,L,0.5,0.1,1.69,Y,0,,,2026,0.097,2026,0.097,
588680.SH,广发上证科创板100增强策略ETF,上证科创板100,上证科创板100指数收益率×100%,增强指数型,广发基金管理有限公司,20240705,nan,L,0.5,0.1,0.86,Y,0,,,2024,0.0965,2026,0.0557,
561660.SH,平安中证通用航空主题ETF,中证通用航空主题,中证通用航空主题指数收益率×100%,被动指数型,平安基金管理有限公司,20251110,nan,L,0.5,0.1,0.63,Y,0,,,2026,0.0962,2026,0.0962,
159011.SZ,华安中证畜牧养殖产业ETF,中证畜牧养殖产业,中证畜牧养殖产业指数收益率×100%,nan,华安基金管理有限公司,20260616,nan,L,0.5,0.1,0.31,Y,0,,,2026,0.0961,2026,0.0961,
589060.SH,东财上证科创板综合价格ETF,上证科创板综合价格,上证科创板综合价格指数收益率×100%,被动指数型,东财基金管理有限公司,20250327,nan,L,0.15,0.05,1.29,Y,0,,,2025,0.096,2026,0.0722,
159797.SZ,汇添富中证全指医疗器械ETF,中证全指医疗器械,中证全指医疗器械指数收益率×100%,被动指数型,汇添富基金管理股份有限公司,20220516,nan,L,0.15,0.05,2.68,Y,0,,,2022,0.096,2026,0.0611,
516500.SH,华夏中证生物科技主题ETF,中证生物科技主题,中证生物科技主题指数收益率×100%,被动指数型,华夏基金管理有限公司,20210317,nan,L,0.5,0.1,1.29,Y,0,,,2026,0.0958,2026,0.0958,
588840.SH,万家上证科创板50成份ETF,上证科创板50成份,上证科创板50成份指数收益率×100%,被动指数型,万家基金管理有限公司,20250310,nan,L,0.15,0.05,0.91,Y,0,,,2025,0.0957,2026,0.0772,
561310.SH,国泰中证消费电子主题ETF,中证消费电子主题,中证消费电子主题指数收益率×100%,被动指数型,国泰基金管理有限公司,20211125,nan,L,0.5,0.1,0.78,Y,0,,,2022,0.0957,2026,0.0866,
159721.SZ,永赢深证100ETF,深证100,深证100指数收益率×100%,被动指数型,永赢基金管理有限公司,20210625,nan,L,0.15,0.05,0.71,Y,0,,,2021,0.0952,2026,0.0268,
159520.SZ,工银瑞信中证消费龙头ETF,中证消费龙头,中证消费龙头指数收益率×100%,被动指数型,工银瑞信基金管理有限公司,20231031,nan,L,0.5,0.07,1.42,Y,0,,,2025,0.0951,2026,0.0735,
520770.SH,建信恒指港股通ETF,恒指港股通,恒指港股通指数收益率(经汇率调整)×100%,被动指数型,建信基金管理有限责任公司,20260126,nan,L,0.15,0.05,2.01,Y,0,,,2026,0.0946,2026,0.0946,
159173.SZ,南方中证全指农牧渔ETF,中证全指农牧渔,中证全指农牧渔指数收益率×100%,被动指数型,南方基金管理股份有限公司,20260402,nan,L,0.15,0.05,0.46,Y,0,,,2026,0.0943,2026,0.0943,
516380.SH,华宝中证智能电动汽车ETF,中证智能电动汽车,中证智能电动汽车指数收益率×100%,被动指数型,华宝基金管理有限公司,20210618,nan,L,0.5,0.1,0.73,Y,0,,,2021,0.094,2026,0.014,
512060.SH,天弘中证A100ETF,中证A100,中证A100指数收益率×100%,被动指数型,天弘基金管理有限公司,20250718,nan,L,0.15,0.05,0.13,Y,0,,,2025,0.0931,2026,0.0273,
501305.SH,汇添富中证港股通高股息投资ETF联接(LOF)-A,中证港股通高股息投资,中证港股通高股息投资指数收益率(经估值汇率调整后)×95%+银行活期存款利率(税后)×5%,被动指数型,汇添富基金管理股份有限公司,20180118,nan,L,0.5,0.1,,Y,0,,,2025,0.0927,2026,0.0047,
501301.SH,华宝港股通恒生中国(香港上市)30ETF联接(LOF)-A,香港上市)30,活期存款利率(税后)×5%+恒生中国(香港上市)30指数×95%,被动指数型,华宝基金管理有限公司,20170508,nan,L,0.5,0.1,,Y,0,,,2025,0.0924,2026,0.0326,
159936.SZ,广发中证全指可选消费ETF,中证全指可选消费,中证全指可选消费指数×100%,被动指数型,广发基金管理有限公司,20140625,nan,L,0.5,0.1,2.09,Y,0,,,2014,0.0922,2026,0.0241,
512230.SH,景顺长城中证医药卫生ETF,中证医药卫生,中证医药卫生指数×100%,被动指数型,景顺长城基金管理有限公司,20140819,20190123,D,nan,nan,,Y,0,,,2014,0.0922,2017,0.004,
510600.SH,申万菱信上证50ETF,上证50,上证50指数×100%,被动指数型,申万菱信基金管理有限公司,20180920,nan,L,0.5,0.1,0.53,Y,0,,,2021,0.0919,2026,0.0235,
159119.SZ,招商中证800自由现金流ETF,中证800自由现金流,中证800自由现金流指数收益率×100%,被动指数型,招商基金管理有限公司,20251113,nan,L,0.15,0.05,1.43,Y,0,,,2026,0.0917,2026,0.0917,
516480.SH,国联安中证新材料主题ETF,中证新材料主题,中证新材料主题指数×100%,被动指数型,国联安基金管理有限公司,20210611,20251014,D,nan,nan,,Y,0,,,2021,0.0917,2025,0.004,
159045.SZ,大成中证稀有金属主题ETF,中证稀有金属主题,中证稀有金属主题指数收益率×100%,nan,大成基金管理有限公司,20260624,nan,L,0.5,0.1,1.39,Y,0,,,2026,0.091,2026,0.091,
563770.SH,招商中证全指自由现金流ETF,中证全指自由现金流,中证全指自由现金流指数收益率×100%,被动指数型,招商基金管理有限公司,20250516,nan,L,0.15,0.05,0.31,Y,0,,,2026,0.0909,2026,0.0909,
563680.SH,汇添富中证800自由现金流ETF,中证800自由现金流,中证800自由现金流指数收益率×100%,被动指数型,汇添富基金管理股份有限公司,20250515,nan,L,0.5,0.1,1.27,Y,0,,,2025,0.09,2026,0.0497,
159238.SZ,景顺长城沪深300增强策略ETF,沪深300,沪深300指数收益率×100%,增强指数型,景顺长城基金管理有限公司,20250609,nan,L,0.5,0.1,0.72,Y,0,,,2025,0.0897,2026,0.0509,
159877.SZ,南方中证全指医疗保健设备与服务ETF,中证全指医疗保健设备与服务,中证全指医疗保健设备与服务指数收益率×100%,被动指数型,南方基金管理股份有限公司,20211103,nan,L,0.5,0.1,1.27,Y,0,,,2022,0.0882,2026,0.0204,
501029.SH,华宝标普中国A股红利机会ETF联接(LOF)-A,标普中国A股红利机会,标普中国A股红利机会指数收益率×95%+同期银行活期存款利率(税后)×5%,被动指数型,华宝基金管理有限公司,20170213,nan,L,0.5,0.1,,Y,0,,,2018,0.0873,2026,0.0088,
526070.SH,博时恒指港股通ETF,恒指港股通,恒指港股通指数收益率×100%,nan,博时基金管理有限公司,20260529,nan,L,0.5,0.1,0.52,Y,0,,,2026,0.0872,2026,0.0872,
159517.SZ,银华中证800增强策略ETF,中证800,中证800指数收益率×100%,增强指数型,银华基金管理股份有限公司,20230905,nan,L,0.5,0.1,0.12,Y,0,,,2023,0.0872,2026,0.0461,
159253.SZ,博时中证银行ETF,中证银行,中证银行指数收益率×100%,被动指数型,博时基金管理有限公司,20251208,nan,L,0.5,0.1,5.25,Y,0,,,2026,0.0869,2026,0.0869,
159689.SZ,南方中证主要消费ETF,中证主要消费,中证主要消费指数×100%,被动指数型,南方基金管理股份有限公司,20230313,nan,L,0.5,0.1,0.56,Y,0,,,2023,0.0869,2026,0.0269,
159678.SZ,博时中证500增强策略ETF,中证500,中证500指数收益率×100%,增强指数型,博时基金管理有限公司,20230227,nan,L,0.5,0.1,1.4,Y,0,,,2023,0.0862,2026,0.0635,
159191.SZ,易方达国证港股通科技ETF,国证港股通科技,国证港股通科技指数收益率(使用估值汇率折算)×100%,被动指数型,易方达基金管理有限公司,20260326,nan,L,0.3,0.05,0.64,Y,0,,,2026,0.0861,2026,0.0861,
