symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative
515670.SH,中银中证100ETF,中证100,中证100指数收益率×100%,被动指数型,中银基金管理有限公司,20200520,20240628,D,nan,nan,,Y,0,,,2023,0.0485,2024,0.0468,Y
562530.SH,华夏中证智选1000价值稳健策略ETF,中证智选1000价值稳健策略,中证智选1000价值稳健策略指数收益率×100%,被动指数型,华夏基金管理有限公司,20220812,nan,L,0.5,0.1,2.27,Y,0,,,2026,0.0463,2026,0.0463,Y
159886.SZ,富国中证细分机械设备产业主题ETF,中证细分机械设备产业主题,中证细分机械设备产业主题指数收益率×100%,被动指数型,富国基金管理有限公司,20210428,nan,L,0.5,0.1,0.61,Y,0,,,2022,0.2462,2026,0.046,Y
159683.SZ,嘉实中证内地运输主题ETF,中证内地运输主题,中证内地运输主题指数收益率×100%,被动指数型,嘉实基金管理有限公司,20230109,20250115,D,nan,nan,,Y,0,,,2023,0.0988,2024,0.0457,Y
159961.SZ,方正富邦深证100ETF,深证100价格,深证100价格指数收益率×100%,被动指数型,方正富邦基金管理有限公司,20181219,nan,L,0.5,0.1,2.19,Y,0,,,2024,0.0584,2026,0.0454,Y
159990.SZ,银华巨潮小盘价值ETF,巨潮小盘价值,巨潮小盘价值指数×100%,被动指数型,银华基金管理股份有限公司,20200120,20240717,D,nan,nan,,Y,0,,,2020,0.0654,2024,0.0451,Y
516590.SH,易方达中证智能电动汽车ETF,中证智能电动汽车,中证智能电动汽车指数收益率×100%,被动指数型,易方达基金管理有限公司,20210512,nan,L,0.15,0.05,0.57,Y,0,,,2021,0.2754,2026,0.0442,Y
512430.SH,华泰柏瑞中证家居家电ETF,中证家居家电,中证家居家电指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20260430,nan,L,0.5,0.1,0.26,Y,0,,,2026,0.0431,2026,0.0431,Y
561060.SH,华安中证国有企业红利ETF,中证国有企业红利,中证国有企业红利指数收益率×100%,被动指数型,华安基金管理有限公司,20230921,nan,L,0.5,0.1,0.58,Y,0,,,2023,0.081,2026,0.043,Y
530380.SH,易方达上证380ETF,上证380,上证380指数收益率×100%,被动指数型,易方达基金管理有限公司,20250930,nan,L,0.15,0.05,1.51,Y,0,,,2025,0.0928,2026,0.0422,Y
159861.SZ,国泰中证环保产业50ETF,中证环保产业50,中证环保产业50指数收益率×100%,被动指数型,国泰基金管理有限公司,20210402,nan,L,0.5,0.1,0.99,Y,0,,,2021,0.3456,2026,0.04,Y
513830.SH,嘉实中证港股通高股息投资ETF,经估值汇率调整后的中证港股通高股息投资,经估值汇率调整后的中证港股通高股息投资指数收益率×100%,被动指数型,嘉实基金管理有限公司,20250307,nan,L,0.5,0.1,0.65,Y,0,,,2025,0.1558,2026,0.0397,Y
517500.SH,国泰中证沪港深动漫游戏ETF,中证沪港深动漫游戏,中证沪港深动漫游戏指数收益率×100%,被动指数型,国泰基金管理有限公司,20220315,20231221,D,nan,nan,,Y,0,,,2022,0.0484,2023,0.0396,Y
516980.SH,华富中证证券公司先锋策略ETF,中证证券公司先锋策略,中证证券公司先锋策略指数收益率×100%,被动指数型,华富基金管理有限公司,20210624,nan,L,0.5,0.1,0.6,Y,0,,,2021,0.0559,2026,0.0395,Y
517880.SH,华泰柏瑞中证沪港深品牌消费50ETF,中证沪港深品牌消费50,中证沪港深品牌消费50指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20211201,nan,L,0.3,0.1,0.37,Y,0,,,2023,0.0667,2026,0.0389,Y
516560.SH,华宝中证养老产业ETF,中证养老产业,中证养老产业指数收益率×100%,被动指数型,华宝基金管理有限公司,20210916,nan,L,0.5,0.1,1.57,Y,0,,,2021,0.0954,2026,0.0386,Y
159188.SZ,景顺长城标普中国A股红利100ETF,标普中国A股红利100,标普中国A股红利100指数收益率×100%,被动指数型,景顺长城基金管理有限公司,20260410,nan,L,0.5,0.1,0.63,Y,0,,,2026,0.0378,2026,0.0378,Y
530530.SH,华夏上证580ETF,上证580,上证580指数收益率×100%,被动指数型,华夏基金管理有限公司,20250829,nan,L,0.15,0.05,1.57,Y,0,,,2025,0.0725,2026,0.0367,Y
512380.SH,银华MSCI中国A股ETF,MSCI中国A股人民币,MSCI中国A股人民币指数×100%,被动指数型,银华基金管理股份有限公司,20190430,nan,L,0.5,0.1,1.23,Y,1,2019,2019,2019,0.7119,2026,0.0363,Y
515200.SH,申万菱信中证研发创新100ETF,中证研发创新100,中证研发创新100指数×100%,被动指数型,申万菱信基金管理有限公司,20191115,nan,L,0.5,0.1,0.96,Y,0,,,2020,0.1072,2026,0.0362,Y
510770.SH,申万菱信上证G60战略新兴产业成份ETF,上证G60战略新兴产业成份,上证G60战略新兴产业成份指数收益率×100%,被动指数型,申万菱信基金管理有限公司,20210928,nan,L,0.5,0.1,0.2,Y,0,,,2021,0.0535,2026,0.0355,Y
512650.SH,汇添富中证长三角一体化发展主题ETF,中证长三角一体化发展主题,中证长三角一体化发展主题指数收益率×100%,被动指数型,汇添富基金管理股份有限公司,20191025,nan,L,0.15,0.05,0.45,Y,0,,,2020,0.137,2026,0.0351,Y
560810.SH,融通中证诚通央企ESGETF,中证诚通央企ESG,中证诚通央企ESG指数收益率×100%,被动指数型,融通基金管理有限公司,20241209,nan,L,0.3,0.05,2.34,Y,0,,,2026,0.0351,2026,0.0351,Y
159916.SZ,建信深证基本面60ETF,深证基本面60,深证基本面60指数×100%,被动指数型,建信基金管理有限责任公司,20111024,nan,L,0.5,0.1,2.2,Y,0,,,2023,0.1463,2026,0.0349,Y
159620.SZ,华夏中证智选500成长创新策略ETF,中证智选500成长创新策略,中证智选500成长创新策略指数收益率×100%,被动指数型,华夏基金管理有限公司,20220805,nan,L,0.5,0.1,0.37,Y,0,,,2022,0.0354,2026,0.0348,Y
159896.SZ,南方中证物联网主题ETF,中证物联网主题,中证物联网主题指数收益率×100%,被动指数型,南方基金管理股份有限公司,20211124,nan,L,0.5,0.1,0.5,Y,0,,,2022,0.1033,2026,0.0344,Y
517100.SH,富国中证沪港深500ETF,中证沪港深500,中证沪港深500指数收益率×100%,被动指数型,富国基金管理有限公司,20210302,nan,L,0.5,0.1,1.46,Y,0,,,2021,0.0621,2022,0.0339,Y
510270.SH,中银上证国有企业100ETF,上证国有企业100,上证国有企业100指数×100%,被动指数型,中银基金管理有限公司,20110818,nan,L,0.5,0.1,0.26,Y,0,,,2026,0.0321,2026,0.0321,Y
