to_combo,direction,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events
无正负,升级,23,0.019205059476012674,0.0085034013605442,0.0471404683177076,0.6086956521739131,-0.010731878039479899,0.059733983361295595,23,0.04097467514190136,0.0376847290640394,0.06847979930789753,0.782608695652174,0.01317316945760025,0.06094233947515976,23,0.03978623953469017,0.0315236427320491,0.10983740373657844,0.6521739130434783,-0.0277170106302701,0.09150185017402601,19,0.05534395241701625,0.0450953045095305,0.11266887550428896,0.7368421052631579,0.0051549169977517986,0.1478202763242103,23
无正负,换挡,4,0.005264315020805925,0.013262445107613801,0.07198182358238583,0.5,-0.02554332006858291,0.04407008019700263,4,-0.022643128901968977,-0.0094063557907163,0.09097845192026857,0.5,-0.05573904064622626,0.023689555953540973,4,-0.020386539650225573,-0.03297750309693145,0.05867757391327457,0.25,-0.06462405091171242,0.011260008164555399,3,-0.06893282090009197,-0.0339750849377123,0.06872930222532957,0.0,-0.09104458018734735,-0.02934219363164675,4
无正负,降级,55,0.01059852406276606,0.007830626450116,0.05158416930404273,0.6909090909090909,-0.0219180713633963,0.0404043604085746,55,0.018661504664320445,0.0211764705882353,0.0577209982325692,0.6,-0.01178817135919515,0.0494600844763192,55,0.0006723037054759307,0.0151515151515151,0.07442880609207747,0.5636363636363636,-0.036331984462948844,0.0412300813530751,31,0.027082942629363744,0.0144817073170731,0.13908617458156008,0.5161290322580645,-0.0528951020515624,0.10305137643861635,55
无负无,升级,11374,0.008095878566881182,0.0044314016407749,0.062448377733417916,0.5378934411816424,-0.0248811365987027,0.0353135956369302,11364,0.012593468313232286,0.00441649335459095,0.09170529021720816,0.5272791270679338,-0.0368104363968471,0.051804009888023576,11362,0.030456286450036358,0.01361847323751215,0.15021454408071203,0.5575602886815701,-0.0483416243856032,0.08583190143395422,11184,0.04924991771301218,0.021062521269090348,0.22401645247979735,0.5648247496423462,-0.06326291929985356,0.1182348439599819,11376
无负无,换挡,804,0.007178261378917008,0.0025873610925157,0.06551039528145426,0.5236318407960199,-0.025697834010268775,0.0353357162881973,803,0.00375122794383461,0.0,0.09190028443766624,0.49937733499377335,-0.04422294328432725,0.04739261276942215,801,0.017633758432514097,0.0079491255961843,0.13076730971469377,0.5205992509363296,-0.0513513513513514,0.0762790697674418,788,0.03817201883214688,0.020606208577929247,0.16812741441780857,0.5761421319796954,-0.06303274536154294,0.12115909242131875,805
无负无,降级,8192,0.002539118455709302,0.00083373299692075,0.06215873196296019,0.50390625,-0.029653203877047174,0.032376078765481625,8182,0.009933115083357971,0.00233535781914,0.08899410546229415,0.5107553165485211,-0.039700206176256574,0.04871981433850948,8174,0.020057999805315602,0.00601450042299585,0.13221355434161972,0.5220210423293369,-0.055255147151698825,0.07632005035197785,8068,0.04223299959811047,0.0160974532146641,0.20874164553308125,0.5508180466038671,-0.06958538962926303,0.1160771462402123,8202
无负正,升级,619,-0.001136375411343707,-0.0014285714285714,0.0897761790229747,0.4862681744749596,-0.0440680947550924,0.0411384382402961,619,-0.004746144722009066,-0.0072222222222223,0.13501264466861396,0.47334410339256866,-0.07351039734626905,0.07031066635942845,619,0.016574420731279595,-0.0051413881748072,0.17142077012749932,0.4781906300484653,-0.07869861854200855,0.09218357471632585,606,0.03168386952774828,-8.98525519849e-05,0.23833297949148416,0.49834983498349833,-0.10864427368811236,0.1148645411591055,619
无负正,换挡,57,-0.009771102364264112,-0.0064477130767681,0.0656234697643956,0.45614035087719296,-0.049938800489596,0.0163850486431131,56,-0.014222827757472604,-0.015604370967809148,0.13305714911267807,0.42857142857142855,-0.07370455112388666,0.041166521601519276,56,-0.027435556113897284,-0.0503741967828413,0.15727058148748427,0.42857142857142855,-0.10419476105616195,0.06959250487604325,55,0.004083815615346184,-0.0263866654717668,0.19985029772413984,0.45454545454545453,-0.12007468387859666,0.06366958148487731,57
无负正,降级,758,0.0054433725354517655,0.0019045755937582998,0.10619134033256569,0.5092348284960422,-0.04709570024817902,0.05119377101514285,758,0.007430946983216165,0.008751026834611101,0.14567507265212154,0.5369393139841688,-0.06655441779001313,0.08051920438437575,758,0.01264895484285449,-0.0046955121015625,0.18272960631260673,0.48284960422163586,-0.09286260702330638,0.1033922218132744,748,0.029861892765276135,-0.017079475020945548,0.2916651935895365,0.45454545454545453,-0.1200155086848634,0.11198161968152082,758
无负负,升级,5426,0.010862412764542657,0.0044740011409496,0.06979538561708723,0.5307777368227055,-0.02698795389591405,0.040919222547796376,5425,0.018921807603378457,0.0080695220360025,0.10114700348535265,0.5421198156682028,-0.0382022471910112,0.0627476882430646,5422,0.04872488822605297,0.0295559663071184,0.14737581505325362,0.6099225378089266,-0.04076455849307515,0.10887849967083965,5243,0.06793444944447986,0.0409556313993173,0.22573807661786421,0.6234979973297731,-0.04686831087935455,0.1446650563059233,5426
