sw_l1,sw_l2,sw_l3,组内排名,symbol,name,mktcap_yi,avg_amount_20d_yi,price,listing_date,is_st,已纳入
传媒,影视院线,影视动漫制作,7,601595.SS,上海电影,101.52,3.4779,22.65,2016-08-17,0,False
传媒,影视院线,影视动漫制作,8,001330.SZ,博纳影业,74.36,7.3503,5.41,2022-08-18,0,False
传媒,影视院线,影视动漫制作,9,600088.SS,中视传媒,60.29,2.1218,15.16,1997-06-16,0,False
传媒,影视院线,院线,10,300528.SZ,幸福蓝海,50.53,2.3123,13.56,2016-08-08,0,False
传媒,影视院线,影视动漫制作,11,300291.SZ,百纳千成,47.94,2.378,5.09,2012-02-09,0,False
传媒,影视院线,影视动漫制作,12,000892.SZ,欢瑞世纪,42.57,5.5484,4.34,1999-01-15,0,False
传媒,影视院线,影视动漫制作,13,300426.SZ,华智数媒,31.66,1.5657,7.03,2015-02-17,0,False
传媒,影视院线,影视动漫制作,14,000802.SZ,北京文化,28.21,3.9929,3.94,1998-01-08,0,False
传媒,影视院线,影视动漫制作,15,002343.SZ,慈文传媒,26.1,1.4634,5.51,2010-01-26,0,False
传媒,影视院线,影视动漫制作,16,603721.SS,中广天择,23.59,2.0002,18.15,2017-08-11,0,False
传媒,数字媒体,视频媒体,1,300413.SZ,芒果超媒,314.47,19.9753,16.81,2015-01-21,0,False
传媒,数字媒体,门户网站,2,603000.SS,人民网,187.3,3.7632,16.94,2012-04-27,0,False
传媒,数字媒体,门户网站,3,603888.SS,新华网,130.78,2.6431,17.62,2016-10-28,0,False
传媒,数字媒体,图片媒体,4,000681.SZ,视觉中国,112.16,5.0273,16.01,1997-01-21,0,False
传媒,数字媒体,文字媒体,5,603533.SS,掌阅科技,102.22,7.59,23.29,2017-09-21,0,False
传媒,数字媒体,其他数字媒体,6,603466.SS,风语筑,76.14,8.9256,12.8,2017-10-20,0,False
传媒,数字媒体,门户网站,7,300785.SZ,值得买,66.28,2.8867,33.33,2019-07-15,0,False
传媒,数字媒体,门户网站,8,600228.SS,返利科技,46.46,2.9853,11.15,1999-01-19,0,False
