sw_l1,sw_l2,symbol,name,组内排名,mktcap_yi,avg_amount_20d_yi,listing_date,sw_l3
社会服务,专业服务,300012.SZ,华测检测,1,247.38,4.054,2009-10-30,检测服务
社会服务,专业服务,688757.SS,胜科纳米,2,126.4,2.4399,2025-03-25,检测服务
社会服务,专业服务,300938.SZ,信测标准,3,99.87,2.4692,2021-01-27,检测服务
社会服务,专业服务,300416.SZ,苏试试验,4,72.47,1.4328,2015-01-22,检测服务
社会服务,专业服务,301228.SZ,实朴检测,5,71.16,1.9009,2022-01-28,检测服务
社会服务,体育,600158.SS,中体产业,1,67.55,1.7226,1998-03-27,体育Ⅲ
社会服务,教育,002607.SZ,中公教育,1,117.18,2.6292,2011-08-10,培训教育
社会服务,教育,300192.SZ,科德教育,2,83.91,4.4743,2011-03-22,培训教育
社会服务,教育,002093.SZ,国脉科技,3,77.78,1.4525,2006-12-15,学历教育
社会服务,教育,300688.SZ,创业黑马,4,58.01,3.0719,2017-08-10,培训教育
社会服务,教育,600880.SS,博瑞传播,5,54.12,1.8989,1995-11-15,教育运营及其他
社会服务,旅游及景区,603099.SS,长白山,2,101.13,2.4084,2014-08-22,自然景区
社会服务,旅游及景区,600054.SS,黄山旅游,3,78.34,1.2398,1997-05-06,自然景区
社会服务,旅游及景区,000524.SZ,岭南控股,4,59.05,1.4114,1993-11-18,旅游综合
社会服务,旅游及景区,000796.SZ,凯撒旅业,5,58.86,3.4787,1997-07-03,旅游综合
社会服务,酒店餐饮,000428.SZ,华天酒店,3,41.47,3.5235,1996-08-08,酒店
社会服务,酒店餐饮,000721.SZ,西安饮食,4,34.21,2.3535,1997-04-30,餐饮
社会服务,酒店餐饮,301073.SZ,君亭酒店,5,33.8,1.898,2021-09-30,酒店
纺织服饰,服装家纺,600398.SS,海澜之家,2,279.04,2.1997,2000-12-28,非运动服装
纺织服饰,服装家纺,002832.SZ,比音勒芬,3,142.73,2.1452,2016-12-23,非运动服装
纺织服饰,服装家纺,300005.SZ,探路者,4,99.59,4.4211,2009-10-30,运动服装
纺织服饰,服装家纺,603608.SS,天创时尚,5,86.03,3.2588,2016-02-18,鞋帽及其他
纺织服饰,纺织制造,002003.SZ,伟星股份,1,134.58,1.9557,2004-06-25,辅料
纺织服饰,纺织制造,002083.SZ,孚日股份,2,93.43,2.9729,2006-11-24,棉纺
纺织服饰,纺织制造,300819.SZ,聚杰微纤,3,72.66,1.6569,2020-03-12,其他纺织
纺织服饰,纺织制造,002042.SZ,华孚时尚,4,64.46,1.168,2005-04-27,棉纺
纺织服饰,纺织制造,002674.SZ,兴业科技,5,57.1,3.2497,2012-05-07,辅料
纺织服饰,饰品,600916.SS,XD中国黄,1,127.18,4.6373,2021-02-05,钟表珠宝
纺织服饰,饰品,002867.SZ,周大生,2,113.11,1.2513,2017-04-27,钟表珠宝
纺织服饰,饰品,301177.SZ,迪阿股份,4,90.58,1.0861,2021-12-15,钟表珠宝
纺织服饰,饰品,002345.SZ,潮宏基,5,78.81,2.1336,2010-01-28,钟表珠宝
综合,综合,000833.SZ,粤桂股份,2,170.08,6.6251,1998-11-11,综合Ⅲ
综合,综合,600770.SS,综艺股份,3,75.01,2.2908,1996-11-20,综合Ⅲ
综合,综合,600682.SS,南京新百,4,74.12,1.0756,1993-10-18,综合Ⅲ
综合,综合,000025.SZ,特 力Ａ,5,62.81,2.1488,1993-06-21,综合Ⅲ
美容护理,个护用品,003006.SZ,百亚股份,1,82.75,3.3262,2020-09-21,生活用纸
美容护理,化妆品,603605.SS,珀莱雅,1,223.25,3.5761,2017-11-15,品牌化妆品
美容护理,化妆品,300957.SZ,贝泰妮,2,133.43,2.1888,2021-03-25,品牌化妆品
美容护理,化妆品,600315.SS,上海家化,3,118.45,1.7682,2001-03-15,品牌化妆品
美容护理,化妆品,603983.SS,丸美生物,4,112.48,1.5425,2019-07-25,品牌化妆品
美容护理,化妆品,300740.SZ,水羊股份,5,87.63,5.3717,2018-02-08,品牌化妆品
轻工制造,包装印刷,002831.SZ,裕同科技,1,367.43,2.9465,2016-12-16,纸包装
轻工制造,包装印刷,003018.SZ,金富科技,2,155.41,9.7531,2020-11-06,塑料包装
轻工制造,包装印刷,002969.SZ,嘉美包装,3,124.57,4.3172,2019-12-02,金属包装
轻工制造,包装印刷,002701.SZ,奥瑞金,4,113.4,1.044,2012-10-11,金属包装
轻工制造,家居用品,603195.SS,公牛集团,1,684.59,1.2953,2020-02-06,其他家居用品
轻工制造,家居用品,603833.SS,欧派家居,3,174.57,1.0192,2017-03-28,定制家居
轻工制造,家居用品,001221.SZ,悍高集团,4,141.48,1.3141,2025-07-30,其他家居用品
轻工制造,家居用品,603226.SS,菲林格尔,5,130.47,2.1047,2017-06-15,瓷砖地板
轻工制造,文娱用品,603899.SS,晨光股份,1,199.37,1.0074,2015-01-27,文化用品
轻工制造,文娱用品,002348.SZ,高乐股份,2,104.18,1.4863,2010-02-03,娱乐用品
轻工制造,文娱用品,605299.SS,舒华体育,3,48.88,2.0306,2020-12-15,娱乐用品
轻工制造,文娱用品,002862.SZ,实丰文化,4,25.19,1.1705,2017-04-11,娱乐用品
轻工制造,造纸,002078.SZ,太阳纸业,1,395.59,3.4176,2006-11-16,大宗用纸
轻工制造,造纸,603733.SS,仙鹤股份,2,154.71,1.6811,2018-04-20,特种纸
轻工制造,造纸,600103.SS,青山纸业,3,82.69,12.8711,1997-07-03,特种纸
轻工制造,造纸,600963.SS,岳阳林纸,4,59.58,1.009,2004-05-25,大宗用纸
轻工制造,造纸,002067.SZ,景兴纸业,5,58.99,1.3881,2006-09-15,大宗用纸
钢铁,冶钢原料,000629.SZ,钒钛股份,3,268.51,2.4096,1996-11-15,冶钢辅料
钢铁,冶钢原料,600516.SS,方大炭素,4,210.96,1.8658,2002-08-30,冶钢辅料
钢铁,冶钢原料,601969.SS,海南矿业,5,186.94,1.6629,2014-12-09,铁矿石
钢铁,特钢,603995.SS,甬金股份,5,91.34,1.253,2019-12-24,特钢Ⅲ
银行,农商行,601077.SS,渝农商行,2,748.43,4.071,2019-10-29,农商行Ⅲ
银行,农商行,601128.SS,常熟银行,3,232.02,3.6202,2016-09-30,农商行Ⅲ
银行,农商行,002958.SZ,青农商行,4,165.0,2.5047,2019-03-26,农商行Ⅲ
银行,农商行,600908.SS,无锡银行,5,128.17,1.3064,2016-09-23,农商行Ⅲ
银行,国有大型银行,601939.SS,建设银行,2,28409.8,11.5329,2007-09-25,国有大型银行Ⅲ
非银金融,保险,601319.SS,中国人保,3,3414.09,6.8614,2018-11-16,保险Ⅲ
非银金融,多元金融,000617.SZ,中油资本,1,858.4,8.9577,1996-10-22,金融控股
非银金融,多元金融,600901.SS,江苏金租,2,391.53,1.9433,2018-03-01,租赁
非银金融,多元金融,000987.SZ,越秀资本,3,366.75,2.0419,2000-07-18,金融控股
非银金融,多元金融,600517.SS,国网英大,4,285.35,1.0755,2003-10-10,信托
非银金融,多元金融,000415.SZ,渤海租赁,5,277.07,2.7095,1996-07-16,租赁
食品饮料,休闲食品,002847.SZ,盐津铺子,1,114.78,1.402,2017-02-08,零食
食品饮料,休闲食品,603777.SS,来伊份,2,45.28,1.0428,2016-10-12,零食
食品饮料,休闲食品,002820.SZ,桂发祥,3,19.0,1.743,2016-11-18,烘焙食品
食品饮料,调味发酵品,600186.SS,莲花控股,3,230.37,28.6052,1998-08-25,调味发酵品Ⅲ
食品饮料,调味发酵品,600872.SS,中炬高新,4,136.12,1.7041,1995-01-24,调味发酵品Ⅲ
食品饮料,调味发酵品,603317.SS,天味食品,5,135.84,1.23,2019-04-16,调味发酵品Ⅲ
食品饮料,非白酒,002568.SZ,百润股份,3,185.93,1.7351,2011-03-25,其他酒类
食品饮料,非白酒,601579.SS,会稽山,5,135.83,5.4355,2014-08-25,其他酒类
食品饮料,食品加工,300146.SZ,汤臣倍健,3,157.33,1.0766,2010-12-15,保健品
食品饮料,食品加工,300741.SZ,华宝股份,4,138.7,1.6915,2018-03-01,其他食品
食品饮料,饮料乳品,603156.SS,养元饮品,3,537.89,6.1865,2018-02-12,软饮料
食品饮料,饮料乳品,605179.SS,一鸣食品,4,99.89,6.5812,2020-12-28,乳品
食品饮料,饮料乳品,600882.SS,妙可蓝多,5,96.71,1.0391,1995-12-06,乳品
