l1,l2,现有,含ST,有效现有,1亿以上候选,放宽档候选,候选池,新增,补齐后,达标,新增名单,放宽档数
有色金属,能源金属,7,0,7,12,0,12,1,8,是,永兴材料(002756),0
有色金属,贵金属,6,0,6,11,0,11,2,8,是,西部黄金(601069)、四川黄金(001337),0
有色金属,金属新材料,1,0,1,19,4,23,7,8,是,金力永磁(300748)、铂科新材(300811)、龙磁科技(300835)、江南新材(603124)、博威合金(601137)、安泰科技(000969)、中科三环(000970),0
机械设备,专用设备,15,0,15,73,14,87,0,15,是,,0
机械设备,工程机械,7,0,7,17,1,18,1,8,是,浙江鼎力(603338),0
机械设备,自动化设备,13,0,13,49,7,56,0,13,是,,0
机械设备,轨交设备,2,0,2,8,3,11,6,8,是,中国中车(601766)、中国通号(688009)、九州一轨(688485)、中国铁物(000927)、永贵电器(300351)、众合科技(000925),0
机械设备,通用设备,18,0,18,114,17,131,0,18,是,,0
汽车,乘用车,5,0,5,8,0,8,3,8,是,广汽集团(601238)、北汽蓝谷(600733)、海马汽车(000572),0
汽车,商用车,1,0,1,7,2,9,7,8,是,宇通客车(600066)、中国重汽(000951)、福田汽车(600166)、中集车辆(301039)、金龙汽车(600686)、中通客车(000957)、一汽解放(000800),1
汽车,摩托车及其他,2,0,2,7,0,7,6,8,是,春风动力(603129)、隆鑫通用(603766)、涛涛车业(301345)、爱玛科技(603529)、征和工业(003033)、绿通科技(301322),0
汽车,汽车服务,0,0,0,1,2,3,3,3,否,阿尔特(300825)、中国汽研(601965)、国机汽车(600335),2
汽车,汽车零部件,4,0,4,96,29,125,4,8,是,福耀玻璃(600660)、华域汽车(600741)、赛轮轮胎(601058)、中策橡胶(603049),0
煤炭,焦炭,1,0,1,6,0,6,5,6,否,山西焦化(600740)、陕西黑猫(601015)、宝泰隆(601011)、云煤能源(600792)、安泰集团(600408),0
煤炭,煤炭开采,14,0,14,27,1,28,0,14,是,,0
环保,环保设备,0,0,0,8,4,12,8,8,是,盈峰环境(000967)、华宏科技(002645)、恒誉科技(688309)、创元科技(000551)、先河环保(300137)、严牌股份(301081)、龙源技术(300105)、法尔胜(000890),0
环保,环境治理,2,0,2,32,10,42,6,8,是,伟明环保(603568)、浙富控股(002266)、瀚蓝环境(600323)、兴蓉环境(000598)、首创环保(600008)、中山公用(000685),0
电力设备,光伏设备,16,0,16,42,4,46,0,16,是,,0
电力设备,其他电源设备,4,0,4,19,2,21,4,8,是,上海电气(601727)、东方电气(600875)、海博思创(688411)、科华数据(002335),0
电力设备,电机,3,0,3,13,2,15,5,8,是,卧龙电驱(600580)、三瑞智能(301696)、兆威机电(003021)、大洋电机(002249)、湘电股份(600416),0
电力设备,电池,21,0,21,70,5,75,0,21,是,,0
电力设备,电网设备,14,0,14,77,8,85,0,14,是,,0
电力设备,风电设备,2,0,2,17,3,20,6,8,是,大金重工(002487)、明阳智能(601615)、天顺风能(002531)、禾望电气(603063)、新强联(300850)、电气风电(688660),0
电子,元件,16,0,16,57,0,57,0,16,是,,0
电子,光学光电子,13,0,13,61,9,70,0,13,是,,0
电子,其他电子,4,0,4,28,1,29,4,8,是,深圳华强(000062)、沃尔核材(002130)、瑞可达(688800)、英唐智控(300131),0
电子,半导体,69,1,68,162,5,167,0,68,是,,0
电子,消费电子,10,0,10,68,3,71,0,10,是,,0
电子,电子化学品,17,0,17,33,1,34,0,17,是,,0
石油石化,油服工程,2,0,2,9,0,9,6,8,是,中海油服(601808)、石化油服(600871)、海油发展(600968)、中油工程(600339)、潜能恒信(300191)、通源石油(300164),0
石油石化,油气开采,2,1,1,3,0,3,2,3,否,新潮能源(600777)、蓝焰控股(000968),0
石油石化,炼化及贸易,5,0,5,20,1,21,3,8,是,荣盛石化(002493)、东方盛虹(000301)、恒逸石化(000703),0
社会服务,专业服务,0,0,0,9,6,15,8,8,是,华测检测(300012)、胜科纳米(688757)、信测标准(300938)、苏试试验(300416)、实朴检测(301228)、中钢天源(002057)、联检科技(301115)、天溯计量(301449),0
社会服务,体育,0,0,0,1,0,1,1,1,否,中体产业(600158),0
社会服务,教育,0,0,0,7,0,7,7,7,否,中公教育(002607)、科德教育(300192)、国脉科技(002093)、创业黑马(300688)、博瑞传播(600880)、学大教育(000526)、传智教育(003032),0
社会服务,旅游及景区,1,0,1,20,3,23,7,8,是,长白山(603099)、黄山旅游(600054)、岭南控股(000524)、凯撒旅业(000796)、陕西旅游(603402)、张家界(000430)、大连圣亚(600593),0
社会服务,酒店餐饮,2,0,2,5,0,5,3,5,否,华天酒店(000428)、西安饮食(000721)、君亭酒店(301073),0
纺织服饰,服装家纺,1,0,1,17,2,19,7,8,是,海澜之家(600398)、比音勒芬(002832)、探路者(300005)、天创时尚(603608)、红豆股份(600400)、朗姿股份(002612)、七 匹 狼(002029),0
纺织服饰,纺织制造,0,0,0,6,6,12,8,8,是,伟星股份(002003)、孚日股份(002083)、聚杰微纤(300819)、华孚时尚(002042)、兴业科技(002674)、富春染织(605189)、华利集团(300979)、台华新材(603055),2
纺织服饰,饰品,1,0,1,10,2,12,7,8,是,XD中国黄(600916)、周大生(002867)、迪阿股份(301177)、潮宏基(002345)、飞亚达(000026)、金一文化(002721)、深中华A(000017),0
综合,综合,1,0,1,9,1,10,7,8,是,粤桂股份(000833)、综艺股份(600770)、南京新百(600682)、特 力Ａ(000025)、红棉股份(000523)、亚泰集团(600881)、漳州发展(000753),0
美容护理,个护用品,0,0,0,1,2,3,3,3,否,百亚股份(003006)、稳健医疗(300888)、延江股份(300658),2
美容护理,化妆品,0,0,0,6,3,9,8,8,是,珀莱雅(603605)、贝泰妮(300957)、上海家化(600315)、丸美生物(603983)、水羊股份(300740)、青岛金王(002094)、敷尔佳(301371)、诺斯贝尔(300132),2
美容护理,医疗美容,1,0,1,1,1,2,1,2,否,华熙生物(688363),1
计算机,IT服务,11,0,11,68,16,84,0,11,是,,0
计算机,计算机设备,9,0,9,45,9,54,0,9,是,,0
计算机,软件开发,17,0,17,73,17,90,0,17,是,,0
轻工制造,包装印刷,1,0,1,12,5,17,7,8,是,裕同科技(002831)、金富科技(003018)、嘉美包装(002969)、奥瑞金(002701)、紫江企业(600210)、顺灏股份(002565)、美盈森(002303),0
轻工制造,家居用品,2,0,2,20,11,31,6,8,是,公牛集团(603195)、欧派家居(603833)、悍高集团(001221)、菲林格尔(603226)、亚振家居(603389)、匠心家居(301061),0
