symbol,name,category_l1,category_l2,category_l3,sw_l3,mktcap_yi,avg_amount_20d_yi,listing_date,档位,行情名
002601.SZ,龙佰集团,股票,基础化工,化学原料,钛白粉,351.68,2.7031,2011-07-15,1亿以上,
603067.SS,振华股份,股票,基础化工,化学原料,无机盐,268.89,10.897,2016-09-13,1亿以上,
000830.SZ,鲁西化工,股票,基础化工,化学原料,煤化工,226.23,4.1854,1998-08-07,1亿以上,
002064.SZ,华峰化学,股票,基础化工,化学纤维,氨纶,497.74,4.744,2006-08-23,1亿以上,
688295.SS,中复神鹰,股票,基础化工,化学纤维,其他化学纤维,342.72,1.5444,2022-04-06,1亿以上,
603406.SS,天富龙,股票,基础化工,化学纤维,涤纶,120.36,1.098,2025-08-08,1亿以上,XD天富龙
000949.SZ,新乡化纤,股票,基础化工,化学纤维,粘胶,110.52,4.1513,1999-10-21,1亿以上,
000420.SZ,吉林化纤,股票,基础化工,化学纤维,粘胶,86.55,1.8967,1996-08-02,1亿以上,
688585.SS,上纬新材,股票,基础化工,塑料,合成树脂,589.39,5.3385,2020-09-28,1亿以上,
300487.SZ,蓝晓科技,股票,基础化工,塑料,合成树脂,354.16,3.6243,2015-07-02,1亿以上,
600143.SS,金发科技,股票,基础化工,塑料,改性塑料,348.6,3.3504,2004-06-23,1亿以上,
002768.SZ,国恩股份,股票,基础化工,塑料,改性塑料,280.56,4.4733,2015-06-30,1亿以上,
300731.SZ,科创新源,股票,基础化工,橡胶,其他橡胶制品,86.57,4.1374,2017-12-08,1亿以上,
002068.SZ,黑猫股份,股票,基础化工,橡胶,炭黑,74.56,4.2597,2006-09-15,1亿以上,
300587.SZ,天铁科技,股票,基础化工,橡胶,其他橡胶制品,59.98,1.2587,2017-01-05,1亿以上,
300767.SZ,震安科技,股票,基础化工,橡胶,其他橡胶制品,53.88,1.398,2019-03-29,1亿以上,
300121.SZ,阳谷华泰,股票,基础化工,橡胶,橡胶助剂,43.19,1.0436,2010-09-17,1亿以上,
002224.SZ,三 力 士,股票,基础化工,橡胶,其他橡胶制品,33.92,1.0208,2008-04-25,1亿以上,
603688.SS,石英股份,股票,基础化工,非金属材料,非金属材料Ⅲ,266.72,7.1319,2014-10-31,1亿以上,
301071.SZ,力量钻石,股票,基础化工,非金属材料,非金属材料Ⅲ,175.49,11.8799,2021-09-24,1亿以上,
603826.SS,坤彩科技,股票,基础化工,非金属材料,非金属材料Ⅲ,142.5,1.6605,2017-04-14,1亿以上,
603612.SS,索通发展,股票,基础化工,非金属材料,非金属材料Ⅲ,84.03,1.9146,2017-07-18,1亿以上,
001296.SZ,长江材料,股票,基础化工,非金属材料,非金属材料Ⅲ,28.42,0.7577,2021-12-24,放宽档(0.75-1亿),
002614.SZ,奥佳华,股票,家用电器,其他家电,其他家电Ⅲ,34.06,0.9166,2011-09-09,放宽档(0.75-1亿),
002508.SZ,老板电器,股票,家用电器,厨卫电器,厨房电器,154.7,1.4354,2010-11-23,1亿以上,
603366.SS,日出东方,股票,家用电器,厨卫电器,卫浴电器,55.45,3.1086,2012-05-21,1亿以上,
002543.SZ,万和电气,股票,家用电器,厨卫电器,卫浴电器,52.8,1.5654,2011-01-28,1亿以上,
300911.SZ,亿田智能,股票,家用电器,厨卫电器,厨房电器,51.56,4.9594,2020-12-03,1亿以上,
300894.SZ,火星人,股票,家用电器,厨卫电器,厨房电器,42.53,0.8197,2020-12-31,放宽档(0.75-1亿),
002011.SZ,盾安环境,股票,家用电器,家电零部件,家电零部件Ⅲ,145.81,5.0885,2004-07-05,1亿以上,
600619.SS,海立股份,股票,家用电器,家电零部件,家电零部件Ⅲ,140.72,1.9456,1992-11-16,1亿以上,
603112.SS,华翔股份,股票,家用电器,家电零部件,家电零部件Ⅲ,88.99,2.3617,2020-09-17,1亿以上,
