sw_l1,sw_l2,现有,合格候选总数,目标,待补,候选前8
汽车,乘用车,5,8,8,3,比亚迪、上汽集团、长城汽车、赛力斯、长安汽车、广汽集团、北汽蓝谷、海马汽车
汽车,商用车,1,7,7,6,宇通客车、江淮汽车、中国重汽、福田汽车、中集车辆、金龙汽车、中通客车
汽车,摩托车及其他,1,8,8,7,春风动力、千里科技、隆鑫通用、九号公司-WD、涛涛车业、爱玛科技、征和工业、绿通科技
汽车,汽车服务,0,1,1,1,阿尔特
汽车,汽车零部件,4,96,8,4,潍柴动力、福耀玻璃、拓普集团、华域汽车、赛轮轮胎、中策橡胶、万向钱潮、银轮股份
煤炭,焦炭,1,6,6,5,美锦能源、山西焦化、陕西黑猫、宝泰隆、云煤能源、安泰集团
煤炭,煤炭开采,14,27,8,0,中国神华、陕西煤业、兖矿能源、中煤能源、电投能源、潞安环能、淮北矿业、山西焦煤
环保,环保设备,0,9,8,8,盈峰环境、紫金龙净、华宏科技、恒誉科技、创元科技、先河环保、严牌股份、龙源技术
环保,环境治理,1,33,8,7,电投水电、伟明环保、浙富控股、高能环境、瀚蓝环境、兴蓉环境、首创环保、中山公用
电力设备,光伏设备,15,42,8,0,阳光电源、德业股份、隆基绿能、迈为股份、晶盛机电、通威股份、微导纳米、晶科能源
电力设备,其他电源设备,4,19,8,4,上海电气、东方电气、中国动力、麦格米特、欧陆通、海博思创、科华数据、科士达
电力设备,电机,3,13,8,5,卧龙电驱、三瑞智能、鸣志电器、兆威机电、大洋电机、江特电机、江苏雷利、湘电股份
电力设备,电池,21,70,8,0,宁德时代、亿纬锂能、铜冠铜箔、德福科技、天赐材料、新宙邦、先导智能、科达利
电力设备,电网设备,14,77,8,0,国电南瑞、思源电气、特变电工、中国西电、宏发股份、正泰电器、远东股份、特锐德
电力设备,风电设备,2,17,8,6,金风科技、大金重工、明阳智能、天顺风能、禾望电气、中船科技、新强联、电气风电
电子,元件,16,57,8,0,生益科技、东山精密、深南电路、三环集团、沪电股份、胜宏科技、鹏鼎控股、嘉立创
电子,光学光电子,13,61,8,0,京东方Ａ、惠科股份、TCL科技、三安光电、奥比中光-W、水晶光电、腾景科技、彩虹股份
电子,其他电子,4,28,8,4,香农芯创、洁美科技、旭光电子、深圳华强、沃尔核材、瑞可达、英唐智控、中电港
电子,半导体,68,162,8,0,长鑫科技、中芯国际、寒武纪、海光信息、北方华创、华虹宏力、中微公司、兆易创新
电子,消费电子,10,68,8,0,工业富联、立讯精密、蓝思科技、协创数据、华勤技术、领益智造、歌尔股份、安克创新
电子,电子化学品,17,33,8,0,国瓷材料、鼎龙股份、安集科技、广钢气体、天通股份、南大光电、中巨芯-U、中石科技
石油石化,油服工程,2,9,8,6,中海油服、石化油服、海油发展、海油工程、中油工程、潜能恒信、中曼石油、通源石油
石油石化,油气开采,1,3,3,2,中国海油、新潮能源、蓝焰控股
石油石化,炼化及贸易,5,20,8,3,XD中国石、中国石化、荣盛石化、恒力石化、东方盛虹、恒逸石化、桐昆股份、广汇能源
社会服务,专业服务,0,9,8,8,华测检测、胜科纳米、信测标准、苏试试验、实朴检测、中钢天源、联检科技、天溯计量
社会服务,体育,0,1,1,1,中体产业
社会服务,教育,0,7,7,7,中公教育、科德教育、国脉科技、创业黑马、博瑞传播、学大教育、传智教育
社会服务,旅游及景区,1,20,8,7,宋城演艺、长白山、黄山旅游、岭南控股、凯撒旅业、陕西旅游、张家界、大连圣亚
社会服务,酒店餐饮,2,5,5,3,锦江酒店、首旅酒店、华天酒店、西安饮食、君亭酒店
纺织服饰,服装家纺,1,17,8,7,雅戈尔、海澜之家、比音勒芬、探路者、天创时尚、红豆股份、朗姿股份、七 匹 狼
