sw_l1,sw_l2,symbol,name,组内排名,mktcap_yi,avg_amount_20d_yi,listing_date,sw_l3
农林牧渔,饲料,301498.SZ,乖宝宠物,3,149.74,1.3198,2023-08-16,宠物食品
农林牧渔,饲料,002100.SZ,天康生物,5,103.76,2.152,2006-12-26,畜禽饲料
农林牧渔,饲料,002891.SZ,中宠股份,6,87.88,1.7722,2017-08-21,宠物食品
农林牧渔,饲料,603363.SS,傲农生物,7,79.2,1.5865,2017-09-26,畜禽饲料
农林牧渔,饲料,603668.SS,天马科技,8,62.11,1.3905,2017-01-17,水产饲料
医药生物,医疗服务,688796.SS,百奥赛图,5,570.24,3.5373,2025-12-10,医疗研发外包
医药生物,医药商业,601607.SS,上海医药,1,599.27,1.6226,1994-03-24,医药流通
医药生物,医药商业,603939.SS,益丰药房,2,273.03,2.0193,2015-02-17,线下药店
医药生物,医药商业,600998.SS,九州通,3,253.64,1.5789,2010-11-02,医药流通
医药生物,医药商业,603233.SS,大参林,4,208.3,1.2846,2017-07-31,线下药店
医药生物,医药商业,600511.SS,国药股份,5,197.98,1.0134,2002-11-27,医药流通
医药生物,医药商业,600056.SS,中国医药,6,132.98,1.0782,1997-05-15,医药流通
医药生物,医药商业,301015.SZ,百洋医药,7,120.68,1.5963,2021-06-30,医药流通
医药生物,医药商业,603883.SS,老百姓,8,96.15,1.6624,2015-04-23,线下药店
商贸零售,一般零售,600415.SS,小商品城,1,627.87,6.7006,2002-05-09,商业物业经营
商贸零售,一般零售,300972.SZ,万辰集团,2,341.45,3.5014,2021-04-19,超市
商贸零售,一般零售,000564.SZ,供销大集,3,269.07,7.4396,1994-01-10,百货
商贸零售,一般零售,601933.SS,永辉超市,4,266.86,6.5495,2010-12-15,超市
商贸零售,一般零售,600827.SS,百联股份,5,137.02,1.089,1994-02-04,多业态零售
商贸零售,一般零售,000785.SZ,居然智家,6,137.0,1.2541,1997-07-11,商业物业经营
商贸零售,一般零售,600113.SS,XD浙江东,7,125.03,1.9848,1997-10-21,商业物业经营
商贸零售,一般零售,000061.SZ,农 产 品,8,116.52,2.2804,1997-01-10,商业物业经营
商贸零售,专业连锁,002416.SZ,爱施德,1,110.92,1.4895,2010-05-28,专业连锁Ⅲ
商贸零售,专业连锁,000829.SZ,天音控股,2,90.31,1.5844,1997-12-02,专业连锁Ⅲ
商贸零售,专业连锁,301078.SZ,孩子王,3,87.38,1.668,2021-10-14,专业连锁Ⅲ
商贸零售,专业连锁,300622.SZ,博士眼镜,4,45.27,1.2415,2017-03-15,专业连锁Ⅲ
商贸零售,互联网电商,603613.SS,国联股份,1,140.22,2.2179,2019-07-30,综合电商
商贸零售,互联网电商,002315.SZ,焦点科技,2,98.75,1.7389,2009-12-09,跨境电商
商贸零售,互联网电商,301381.SZ,赛维时代,3,92.76,1.1975,2023-07-12,跨境电商
商贸零售,互联网电商,003010.SZ,若羽臣,4,90.77,2.9981,2020-09-25,电商服务
商贸零售,互联网电商,002803.SZ,吉宏股份,5,90.16,1.8583,2016-07-12,跨境电商
商贸零售,互联网电商,300592.SZ,华凯易佰,6,79.38,2.1168,2017-01-20,跨境电商
商贸零售,互联网电商,002127.SZ,南极电商,7,73.4,1.0197,2007-04-18,电商服务
商贸零售,互联网电商,300792.SZ,壹网壹创,8,55.95,2.2656,2019-09-27,电商服务
商贸零售,旅游零售,600185.SS,珠免集团,2,89.35,2.3835,1999-06-11,旅游零售Ⅲ
商贸零售,贸易,601061.SS,中信金属,1,551.25,2.4521,2023-04-10,贸易Ⅲ
商贸零售,贸易,600710.SS,苏美达,2,146.36,1.2668,1996-07-01,贸易Ⅲ
商贸零售,贸易,002183.SZ,怡 亚 通,3,112.71,1.8243,2007-11-13,贸易Ⅲ
商贸零售,贸易,002072.SZ,凯瑞德,4,25.85,1.7743,2006-10-18,贸易Ⅲ
国防军工,地面兵装,601606.SS,长城军工,1,237.55,14.2743,2018-08-06,地面兵装Ⅲ
国防军工,地面兵装,600967.SS,内蒙一机,2,228.72,11.3417,2004-05-18,地面兵装Ⅲ
国防军工,地面兵装,000519.SZ,中兵红箭,3,214.59,9.8839,1993-10-08,地面兵装Ⅲ
国防军工,地面兵装,600184.SS,光电股份,5,125.0,4.5177,2003-11-06,地面兵装Ⅲ
国防军工,地面兵装,688543.SS,国科军工,6,107.09,3.8217,2023-06-21,地面兵装Ⅲ
国防军工,地面兵装,301357.SZ,北方长龙,7,92.97,6.0265,2023-04-18,地面兵装Ⅲ
国防军工,地面兵装,002519.SZ,银河电子,8,68.49,2.7076,2010-12-07,地面兵装Ⅲ
国防军工,航天装备,688523.SS,航天环宇,5,168.61,1.3165,2023-06-02,航天装备Ⅲ
国防军工,航天装备,003009.SZ,中天火箭,6,78.34,1.651,2020-09-25,航天装备Ⅲ
国防军工,航天装备,002829.SZ,星网宇达,7,41.25,1.2372,2016-12-13,航天装备Ⅲ
国防军工,航海装备,603268.SS,松发股份,2,1897.87,10.7634,2015-03-19,航海装备Ⅲ
国防军工,航海装备,300065.SZ,海兰信,5,112.13,4.6486,2010-03-26,航海装备Ⅲ
国防军工,航海装备,300589.SZ,江龙船艇,8,50.08,3.351,2017-01-13,航海装备Ⅲ
基础化工,化学原料,601216.SS,君正集团,3,397.43,2.7347,2011-02-22,氯碱
基础化工,化学原料,002601.SZ,龙佰集团,4,351.68,2.7031,2011-07-15,钛白粉
基础化工,化学原料,603067.SS,振华股份,5,268.89,10.897,2016-09-13,无机盐
基础化工,化学原料,000830.SZ,鲁西化工,7,226.23,4.1854,1998-08-07,煤化工
基础化工,化学纤维,002064.SZ,华峰化学,1,497.74,4.744,2006-08-23,氨纶
基础化工,化学纤维,688295.SS,中复神鹰,2,342.72,1.5444,2022-04-06,其他化学纤维
基础化工,化学纤维,603406.SS,XD天富龙,4,120.36,1.098,2025-08-08,涤纶
基础化工,化学纤维,000949.SZ,新乡化纤,6,110.52,4.1513,1999-10-21,粘胶
基础化工,化学纤维,000420.SZ,吉林化纤,8,86.55,1.8967,1996-08-02,粘胶
基础化工,塑料,688585.SS,上纬新材,1,589.39,5.3385,2020-09-28,合成树脂
基础化工,塑料,300487.SZ,蓝晓科技,4,354.16,3.6243,2015-07-02,合成树脂
基础化工,塑料,600143.SS,金发科技,6,348.6,3.3504,2004-06-23,改性塑料
基础化工,塑料,002768.SZ,国恩股份,8,280.56,4.4733,2015-06-30,改性塑料
基础化工,橡胶,300731.SZ,科创新源,2,86.57,4.1374,2017-12-08,其他橡胶制品
基础化工,橡胶,002068.SZ,黑猫股份,3,74.56,4.2597,2006-09-15,炭黑
基础化工,橡胶,300587.SZ,天铁科技,4,59.98,1.2587,2017-01-05,其他橡胶制品
基础化工,橡胶,300767.SZ,震安科技,5,53.88,1.398,2019-03-29,其他橡胶制品
基础化工,橡胶,300121.SZ,阳谷华泰,6,43.19,1.0436,2010-09-17,橡胶助剂
基础化工,橡胶,002224.SZ,三 力 士,7,33.92,1.0208,2008-04-25,其他橡胶制品
基础化工,非金属材料,603688.SS,石英股份,2,266.72,7.1319,2014-10-31,非金属材料Ⅲ
基础化工,非金属材料,301071.SZ,力量钻石,3,175.49,11.8799,2021-09-24,非金属材料Ⅲ
基础化工,非金属材料,603826.SS,坤彩科技,4,142.5,1.6605,2017-04-14,非金属材料Ⅲ
基础化工,非金属材料,603612.SS,索通发展,5,84.03,1.9146,2017-07-18,非金属材料Ⅲ
家用电器,厨卫电器,002508.SZ,老板电器,1,154.7,1.4354,2010-11-23,厨房电器
家用电器,厨卫电器,603366.SS,日出东方,2,55.45,3.1086,2012-05-21,卫浴电器
家用电器,厨卫电器,002543.SZ,万和电气,3,52.8,1.5654,2011-01-28,卫浴电器
家用电器,厨卫电器,300911.SZ,亿田智能,4,51.56,4.9594,2020-12-03,厨房电器
家用电器,家电零部件,002011.SZ,盾安环境,3,145.81,5.0885,2004-07-05,家电零部件Ⅲ
家用电器,家电零部件,600619.SS,海立股份,4,140.72,1.9456,1992-11-16,家电零部件Ⅲ
家用电器,家电零部件,603112.SS,华翔股份,6,88.99,2.3617,2020-09-17,家电零部件Ⅲ
家用电器,家电零部件,301252.SZ,同星科技,7,60.62,1.13,2023-05-25,家电零部件Ⅲ
家用电器,家电零部件,603311.SS,金海高科,8,58.95,1.5995,2015-05-18,家电零部件Ⅲ
家用电器,小家电,603355.SS,莱克电气,3,177.81,1.0295,2015-05-13,清洁小家电
家用电器,小家电,002242.SZ,九阳股份,4,71.19,1.0387,2008-05-28,厨房小家电
家用电器,小家电,002403.SZ,爱仕达,5,32.33,2.2186,2010-05-11,厨房小家电
家用电器,小家电,003023.SZ,彩虹集团,6,26.07,1.0138,2020-12-11,个护小家电
家用电器,照明设备,301362.SZ,民爆光电,1,170.77,3.2806,2023-08-04,照明设备Ⅲ
家用电器,照明设备,605365.SS,立达信,2,69.58,1.5149,2021-07-20,照明设备Ⅲ
家用电器,照明设备,001326.SZ,联域股份,3,62.51,1.6146,2023-11-09,照明设备Ⅲ
家用电器,照明设备,002638.SZ,勤上股份,4,59.33,2.0234,2011-11-25,照明设备Ⅲ
家用电器,照明设备,002724.SZ,海洋王,5,56.09,1.7157,2014-11-04,照明设备Ⅲ
家用电器,白色家电,000921.SZ,海信家电,4,377.37,2.4275,1999-07-13,空调
家用电器,白色家电,002668.SZ,TCL智家,5,98.98,1.6111,2012-04-16,冰洗
家用电器,黑色家电,000801.SZ,四川九洲,4,121.76,1.659,1998-05-06,其他黑色家电
家用电器,黑色家电,000810.SZ,创维数字,5,110.19,1.6885,1998-06-02,其他黑色家电
家用电器,黑色家电,688696.SS,极米科技,6,59.72,1.0332,2021-03-03,其他黑色家电
家用电器,黑色家电,688609.SS,九联科技,7,51.67,1.3427,2021-03-23,其他黑色家电
家用电器,黑色家电,002848.SZ,高斯贝尔,8,25.09,1.7175,2017-02-13,彩电
建筑材料,水泥,600449.SS,宁夏建材,5,59.39,1.5232,2003-08-29,水泥制造
建筑材料,水泥,600802.SS,福建水泥,6,26.99,1.2399,1994-01-03,水泥制造
建筑材料,玻璃玻纤,301526.SZ,国际复材,3,1196.12,43.4692,2023-12-26,玻纤制造
建筑材料,玻璃玻纤,002080.SZ,中材科技,4,927.16,23.0594,2006-11-20,玻纤制造
建筑材料,玻璃玻纤,603601.SS,再升科技,6,117.09,8.1594,2015-01-22,玻纤制造
建筑材料,玻璃玻纤,605006.SS,山东玻纤,7,110.85,9.1809,2020-09-03,玻纤制造
建筑材料,玻璃玻纤,300196.SZ,长海股份,8,79.71,3.222,2011-03-29,玻纤制造
建筑材料,装修建材,002043.SZ,兔 宝 宝,4,89.78,1.4995,2005-05-10,其他建材
建筑材料,装修建材,002785.SZ,万里石,5,83.15,2.4534,2015-12-23,其他建材
建筑材料,装修建材,001212.SZ,中旗新材,6,72.61,1.1636,2021-08-23,其他建材
建筑材料,装修建材,300715.SZ,凯伦股份,7,53.72,1.1844,2017-10-26,防水材料
建筑材料,装修建材,300234.SZ,开尔新材,8,51.58,1.0845,2011-06-22,其他建材
建筑装饰,专业工程,601618.SS,中国中冶,1,519.36,2.2024,2009-09-21,其他专业工程
建筑装饰,专业工程,601117.SS,中国化学,2,439.6,4.1811,2010-01-07,化学工程
建筑装饰,专业工程,600970.SS,中材国际,4,203.45,1.1212,2005-04-12,国际工程
建筑装饰,专业工程,605289.SS,罗曼股份,6,149.28,2.9292,2021-04-26,其他专业工程
建筑装饰,专业工程,002541.SZ,鸿路钢构,7,128.36,1.8833,2011-01-18,钢结构
建筑装饰,专业工程,601133.SS,柏诚股份,8,125.6,2.3474,2023-04-10,其他专业工程
建筑装饰,基础建设,601868.SS,中国能建,1,1070.61,4.7136,2021-09-28,基建市政工程
建筑装饰,基础建设,601390.SS,中国中铁,2,1052.39,3.7524,2007-12-03,基建市政工程
建筑装饰,基础建设,601800.SS,中国交建,3,940.4,1.4596,2012-03-09,基建市政工程
建筑装饰,基础建设,601186.SS,中国铁建,4,814.77,1.8597,2008-03-10,基建市政工程
建筑装饰,基础建设,601669.SS,中国电建,5,780.35,3.2754,2011-10-18,基建市政工程
建筑装饰,基础建设,601611.SS,中国核建,7,311.63,3.0572,2016-06-06,基建市政工程
建筑装饰,工程咨询服务,600629.SS,华建集团,2,185.23,5.0966,1993-02-09,工程咨询服务Ⅲ
建筑装饰,工程咨询服务,301091.SZ,深城交,3,97.92,1.1661,2021-10-29,工程咨询服务Ⅲ
建筑装饰,工程咨询服务,603257.SS,中国瑞林,4,87.6,1.4544,2025-04-08,工程咨询服务Ⅲ
建筑装饰,工程咨询服务,003013.SZ,地铁设计,5,80.58,1.9104,2020-10-22,工程咨询服务Ⅲ
建筑装饰,工程咨询服务,301365.SZ,矩阵股份,6,68.78,1.1427,2022-11-22,工程咨询服务Ⅲ
