to_combo,direction,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events
无负无,升级,13020,0.005799541512188649,0.00311288373995675,0.06295198312551752,0.5241935483870968,-0.025895208521677572,0.0333010812402249,13015,0.009827618230086892,0.0032258064516128,0.08812245011968384,0.5188628505570495,-0.03819357815284835,0.04903019326267815,13006,0.028557059422706327,0.0127085207677313,0.1349891170938226,0.5522835614331847,-0.049126720544852474,0.0834802038028041,12853,0.04956920708805472,0.0211920529801323,0.20506853778940035,0.5657823076324594,-0.0628639374110952,0.1241184767277856,13028
无负无,换挡,2816,0.00852716568350989,0.003768259997515,0.06325174107803366,0.5348011363636364,-0.023462036828811875,0.035561797752808974,2816,0.012381421995487335,0.0035014678873600998,0.09781022577552528,0.5241477272727273,-0.037483029238840775,0.04976133245651827,2812,0.02664801598531707,0.0095254674154783,0.13992887495893713,0.5391180654338549,-0.05304834054834048,0.07909627560553895,2785,0.0517302857114598,0.017857142857143,0.21184046787333022,0.5540394973070017,-0.0680397204854725,0.1210762331838561,2857
无负无,降级,8521,0.0027763073151785543,0.0,0.06480830812739749,0.49078746625982866,-0.0294117647058823,0.029925187032419,8516,0.009981445787058028,0.00201918203355505,0.0862551344560805,0.5111554720526068,-0.0383209949914514,0.0468988094064495,8514,0.02067442982761743,0.00717876569549765,0.1278940483372111,0.5301855766972046,-0.0534106299455881,0.07844549408023295,8397,0.03597246083991482,0.0121951219512195,0.19653076990211457,0.5312611647016792,-0.0744160782183596,0.111181154734411,8530
无负正,升级,2335,0.001795754977856021,0.0009293680297397,0.09901289963183971,0.5036402569593148,-0.044203274530151,0.04426080999212995,2335,0.008911835679416086,0.0073260073260075,0.1342076016077033,0.540899357601713,-0.0538438265447302,0.06595545895323571,2334,0.03849732529571796,0.018822753587334852,0.1997369337664774,0.5698371893744645,-0.05948172413977823,0.10097193205559069,2005,0.048890554322673536,0.0108303249097472,0.271531611042635,0.5236907730673317,-0.09009900990099,0.1333823034734917,2335
无负正,换挡,517,0.0187436449972118,0.0138888888888888,0.08017955817176778,0.6131528046421664,-0.0264423076923078,0.0599455040871934,517,0.016344136455671707,0.0126705653021443,0.09074298687770695,0.586073500967118,-0.0290519877675842,0.0532134613048231,517,0.017760159644472952,0.0,0.14347168538019747,0.49709864603481624,-0.0580901493355253,0.0662774725274724,507,0.051449101386538874,0.0098280098280096,0.22716287491221715,0.5424063116370809,-0.07623653175166151,0.1235131060760328,519
无负正,降级,1872,0.004372483227968052,0.0004555245419033,0.08438364942963789,0.500534188034188,-0.0395921119987285,0.04208107649826495,1872,0.009276497022462917,0.0046321839080459,0.12020027179110088,0.5181623931623932,-0.051938682611596246,0.06582092050550845,1871,0.015624764330874783,-0.0034892942109436,0.1727109648057722,0.4863709246392304,-0.07223768380136555,0.0805629851440532,1841,0.031562627695437585,-0.0048737261852015,0.24189426838412353,0.485605649103748,-0.1055472263868066,0.1054852320675105,1873
无负负,升级,4948,0.017356291832744723,0.00987832452315555,0.0714800387234509,0.5751818916734034,-0.021756690313970723,0.04958770614692662,4946,0.026524973338225313,0.0132413803180122,0.10447062154618235,0.5715729882733522,-0.033902748239029674,0.07127643538950673,4937,0.0541900377629007,0.0343511450381679,0.16123841330872585,0.6139355884140166,-0.0413318025258325,0.1207729468599034,4872,0.07102825414309812,0.041784113778637194,0.235095971592993,0.6151477832512315,-0.05265259794854553,0.14847540058293143,4950
无负负,换挡,708,0.013966742455573737,0.0101111435848725,0.0660220907996199,0.5663841807909604,-0.026593653874078624,0.050109306278137325,708,0.02895498709822045,0.02185857620640215,0.08815838750446296,0.6115819209039548,-0.026799499509266474,0.077335823154658,707,0.04372972676862308,0.0319563522992984,0.12691525140552237,0.6265912305516266,-0.0333156494721014,0.11637290307548925,690,0.05229523102313915,0.0216021010039483,0.1863323582594389,0.5608695652173913,-0.06519350645748037,0.13026338250491248,720
无负负,降级,4391,0.014765982887539835,0.0077821011673151,0.07230990680507446,0.5561375540879071,-0.0241484509756981,0.0433712221607989,4389,0.025715961192226827,0.0125391849529781,0.10541627481292132,0.5673274094326726,-0.033134328358209,0.0662347012239021,4389,0.04545194275124872,0.0263157894736842,0.17395644973527669,0.5928457507404876,-0.0470893585465331,0.1106679960119643,4196,0.05682828883247312,0.025717709082195,0.26344725355390275,0.5755481410867492,-0.06691071997752596,0.13780051898059847,4392
正无无,升级,58087,0.00652513674945492,0.0,0.06872318575032534,0.49437912097371184,-0.028531449737675352,0.0304878048780488,57920,0.010936405060773039,0.0021945296888443,0.09878573899076132,0.5114122928176795,-0.040241943085212,0.0467289719626167,57529,0.022518612801473614,0.0046044370029301,0.15156409875989313,0.517791027134141,-0.0594530321046372,0.0776777098745578,57088,0.04389319533704272,0.00645054599188075,0.22870288755021814,0.5179021860986547,-0.08361510345090853,0.12009851794840604,58203
