combo,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events,day_share
无正负,1741,0.00699650860591184,0.0058572107012822006,0.07092110890226658,0.5473865594485927,-0.028205128205128216,0.042402826855123754,1733,0.0169642463974315,0.01655629139072845,0.09521168937688052,0.5903058280438546,-0.03190013869625519,0.06405353728489471,1724,0.018674636521078147,0.011415538274634596,0.14233976943861015,0.5440835266821346,-0.05412579417658056,0.07557098765432102,1575,0.03878545659751549,0.006561679790026309,0.20564040203997497,0.52,-0.06935342561766261,0.10820276792923311,1741,0.003035621647846886
正无负,8005,0.009576892406006749,0.002320185614849146,0.07785977232270815,0.5158026233603997,-0.029508196721311553,0.03616416091019903,7974,0.01396518674260335,0.008344327176781019,0.09703190411863227,0.5490343616754452,-0.03783790542101392,0.0554668655620561,7758,0.027111426823766372,0.013037539615230131,0.15182714437946535,0.5460170146945089,-0.05735926779889772,0.09299543716576736,7320,0.04862534514439663,0.015836430604488916,0.22640856398659964,0.5443989071038251,-0.07556515478761691,0.13264048396923744,8017,0.010995727306522877
负负正,2923,0.0037723562896006904,0.010123966942148899,0.09836367497428755,0.5590147109134451,-0.04092777058114083,0.05425788265248144,2923,0.003810965644293148,0.009636232233196873,0.12954986206446206,0.5425932261375299,-0.05461096130525167,0.06506703805117553,2923,0.04295441507676426,0.027723326799215853,0.1636663226439457,0.5918576804652754,-0.05316182659932678,0.11519395652536712,2592,0.053220358095922196,0.015507220311081316,0.27025328493016076,0.5366512345679012,-0.09048817901341555,0.14997452808752015,2924,0.0037889262818605503
负无无,55537,0.0021094330413619776,-0.0006793478260869179,0.0600228828339341,0.4883411059293804,-0.028790786948176716,0.029247910863509752,55247,0.004829754912407551,-0.0020470829068578444,0.08564030878418848,0.4825782395424186,-0.04137583075263568,0.041436286278240586,54831,0.012912518727802753,-0.002128071193654435,0.13199723366352983,0.4880633218434827,-0.05996690065267857,0.06618891104815228,54567,0.03138417393241452,0.0010266940451744144,0.20227031469470727,0.5018234464053366,-0.0822661546728255,0.10555883018373635,55836,0.07487540019308682
无负无,24357,0.005057250223184159,0.0019144862795148487,0.06366685749958471,0.5137332183766473,-0.026919242273180433,0.032418952618453956,24347,0.010176799109806524,0.00277392510402219,0.08865639359481109,0.5167782478334086,-0.03810623556581988,0.048224172174798574,24332,0.025578227492798165,0.010663513492291776,0.13318467198837244,0.5430297550550716,-0.05121797628555638,0.08118386900521879,24035,0.04506938290334711,0.017829780927834937,0.20303626974600503,0.5523611400041606,-0.0673662188945166,0.11947612029758592,24415,0.049300147790528104
负正负,415,0.007189989455015409,0.010014306151645114,0.0815513407208652,0.5686746987951807,-0.030736949481308895,0.04393710443904264,415,0.017501625513488148,0.016686531585220266,0.11163214717225019,0.5686746987951807,-0.03807428019181236,0.08090512387387405,412,0.012603321724935055,0.005624288082644591,0.1595515421546185,0.5169902912621359,-0.0713362068965516,0.07959579976985026,401,0.02359290019548897,-0.0037453183520598232,0.20021380964071242,0.486284289276808,-0.08623510165926607,0.08552631578947367,415,0.0003668509555977325
无无负,14468,0.010066242768396511,0.005485714572314948,0.07046073120129728,0.5429914293613491,-0.027311117414370117,0.04051869132112418,14378,0.014765515337202726,0.008089928493515863,0.09801684637782908,0.5472944776742245,-0.03848724762238179,0.05854918652516017,14008,0.027249676175169203,0.013300161377084452,0.14966298183226684,0.5509708737864077,-0.057386853870891874,0.09208708927013665,13299,0.04659266756021097,0.016447368421052433,0.21567509238348243,0.544777802842319,-0.07499098774333096,0.1311246770468939,14491,0.038604062104226275
正负负,4021,0.015124197239601277,0.006711409395973034,0.07404792865539013,0.551355384232778,-0.02425373134328368,0.04231625835189301,4021,0.024379545119206328,0.014097744360902054,0.10331238781635807,0.5819447898532704,-0.029957910373854868,0.06464783099787685,4021,0.05233339090202,0.03286219081272068,0.18368253070232615,0.6222332753046506,-0.03993203058623629,0.11463844797178124,3884,0.05737310040998068,0.0315055349158182,0.26918827013993224,0.5867662203913491,-0.06627664903751396,0.13659202178039775,4023,0.004205484141747289
负负无,15802,0.005029072577175477,0.002778513028645291,0.06654631622912185,0.521263131249209,-0.028830651379070454,0.03663995016875243,15795,0.01138717843522748,0.005307050796057755,0.08953168389774817,0.5314339981006647,-0.03769035503674062,0.05087144765062901,15784,0.027348153170110107,0.01344750288848029,0.12807397677428056,0.5546756208819057,-0.047834941999468666,0.08450209506630435,15644,0.049088497538118406,0.022919776922001645,0.19412422764769655,0.5692278189721299,-0.06097911813410434,0.12304522448634614,15837,0.025242006114649326
负无负,5420,0.008443232429901715,0.0036798808355055224,0.07379165045495566,0.5226937269372693,-0.031372968818621144,0.044836493325990545,5363,0.017327045636676017,0.006802721088435382,0.11095357424734593,0.5345888495245199,-0.044314260949046835,0.063835091654046,5186,0.023819126243594592,0.007343952250827068,0.15222952757514394,0.5233320478210567,-0.06551191765071118,0.09048559888561125,5115,0.050759479101562054,0.017302798982188117,0.21313610743795317,0.5521016617790812,-0.07525878671160335,0.14431011956935202,5468,0.006585114672428
