combo,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events,day_share
正负正,39,0.004896468749781671,-0.0015174506828528056,0.10982282733771445,0.48717948717948717,-0.04988662131519267,0.029031427099433293,39,0.04285020769479591,0.0007587253414262918,0.19510922856605997,0.5128205128205128,-0.07968681960499036,0.057629014996733785,38,0.035931820917733684,-0.004015256425016767,0.25176186847089227,0.5,-0.06576605064062016,0.06709132635047671,37,0.08625521712739345,-0.009030704394942801,0.4022888686113927,0.4594594594594595,-0.1402976846747518,0.13150531617235584,39,2.6408504350970376e-05
正负负,4351,0.008827206643840048,0.0032771535580524702,0.07175484281009391,0.5247069639163411,-0.028101838297610093,0.04006533095148912,4350,0.02177253212769328,0.012279255800548672,0.09654405497374247,0.5648275862068965,-0.032207759397349406,0.06437768240343344,4349,0.05175287996681526,0.030185004868549248,0.16338727562879224,0.6162336169234307,-0.038461538461538436,0.11868910540301147,4319,0.057097767609113365,0.032309751917005025,0.2120615648210102,0.587636026858069,-0.06217963170812607,0.1413851807917511,4351,0.003594265156280789
负无无,29070,0.0034140812986742934,0.0,0.06267319547849774,0.49628482972136223,-0.028379198922824783,0.03154831444118167,28911,0.004731001448714986,-0.0026578073089701393,0.08870568763241359,0.4781571028328318,-0.042865827253153854,0.04312391726672471,28561,0.012273412603407778,-0.005231388329979936,0.13752670749729243,0.47463324113301353,-0.06356589147286829,0.06603384234420129,28369,0.025498755043053073,-0.0061511423550089095,0.206607048313519,0.4792202756530015,-0.09138724523339914,0.10180275715800646,29205,0.027088354052723564
负无正,12838,0.005338767399758683,0.0028607828142064307,0.0786687441010944,0.5207976320299113,-0.0326434839521243,0.042651502137248665,12833,0.005747256758991771,0.0,0.11336383854435109,0.4998831138471129,-0.04939324990519545,0.05492957746478888,12814,0.017751007952782685,-0.0042898755379405795,0.17415315878966656,0.4825191197128141,-0.07126214219814173,0.07818077511473737,12774,0.0303193600321797,-0.007633079091575623,0.23536935702117243,0.4806638484421481,-0.10119496453182167,0.10978528878528881,12854,0.011950863930519902
负无负,9855,0.004131199384713593,0.0008846947803007321,0.061365485989530885,0.5042110603754439,-0.028120256723798698,0.033903125678292345,9816,0.00843376706378484,0.001300293023780097,0.09161265130961621,0.5059087204563977,-0.04059504877392833,0.04800186064267992,9556,0.007657609892510895,-0.004897962447621751,0.12701505582119732,0.4761406446211804,-0.06460412646853333,0.06749195090283133,9442,0.032121944708380985,0.00362146050670642,0.2109757918064046,0.5103791569582715,-0.0813083867800479,0.11325606643982788,9866,0.008940971575646484
负正无,3099,0.01768809545779398,0.00855614973262031,0.06874316131284919,0.569215876089061,-0.022022519992511147,0.04669489451354025,3091,0.02808858606108941,0.014285714285714235,0.10003566156596137,0.5771594953089615,-0.031038557354346852,0.06864108143929215,3083,0.049853681857818,0.024278215223097144,0.1574185680030753,0.5893610120012974,-0.04496201446644377,0.10962304040354087,3041,0.057994603359569144,0.015184381778741818,0.23791758436582724,0.5412693193028609,-0.07913669064748197,0.1416238060249817,3104,0.002387599649782604
负正正,6060,0.019140630294061507,0.008809080381552703,0.09254399030324306,0.5655115511551155,-0.030155672420138502,0.055410059876503936,6058,0.022824996363871215,0.01077662838746607,0.12780690562835464,0.5521624298448333,-0.04631180161780951,0.07431009387152282,6053,0.044630308347851505,0.01243201243201253,0.2136545280192887,0.5432017181562862,-0.0668130489335006,0.12204007285974483,6047,0.0450808293464195,-0.001985878199470603,0.2772396686519841,0.49446006284107824,-0.11061816546977138,0.1309574483297743,6067,0.005082621375855991
负正负,91,0.020311115245389238,0.0181818181818183,0.05613574741171111,0.6373626373626373,-0.015831423611475326,0.047765339242028526,91,0.025973315120764433,0.01040832666132907,0.08258911987401599,0.5604395604395604,-0.03026521648104291,0.07115164124741158,91,0.021382126645141254,0.020985401459853836,0.12160249995402882,0.5604395604395604,-0.051555978951188575,0.06938466871842686,87,0.048275628039759474,0.042746113989637236,0.21216731737221484,0.5517241379310345,-0.0864345875675181,0.12928116531828104,91,6.500554917161939e-05
负负无,34038,0.0019141937276994417,0.00029997338359211145,0.0638703090345764,0.500470062870909,-0.029688742250757183,0.030803232470883013,33919,0.004352836816128102,-0.0011061946902655162,0.08769245862171877,0.48972552256847196,-0.04229562572434731,0.04307533266182462,33840,0.016877492395477964,0.002065688995394943,0.13682583234959292,0.5069444444444444,-0.05825242718446594,0.0708406606228551,33336,0.0364745513503257,0.00471143174250821,0.20877335131429017,0.5131089512838973,-0.08085526039699525,0.10979842367693615,34224,0.04366950907944694
负负正,1849,0.0005319438808843372,0.004091653027823217,0.09030119253439717,0.5294753921038399,-0.03904644471845453,0.0437659033078881,1849,-0.0009056864499507696,0.0,0.12423948165619203,0.4991887506760411,-0.05232642411943755,0.05696945967110412,1849,0.01762596541153647,0.002476999292285953,0.1642280030666779,0.5094645754461872,-0.0674881090595858,0.08213644524236963,1796,0.054864553755159626,0.014651291387042686,0.2813980220407647,0.5317371937639198,-0.08774296246648794,0.13887132870789015,1849,0.0015255989821214425
负负负,33495,0.0018982987209061033,-0.00024038461538455902,0.0661784753140787,0.49111807732497387,-0.033202676425104494,0.0328767316242321,33377,0.00895243248030376,0.0006127450980391025,0.09662421904840085,0.5015429786979058,-0.04340677408747107,0.04815303430079165,33271,0.02364344666635051,0.00877192982456143,0.1372562485113334,0.534309158125695,-0.05596397832754596,0.08203205587459739,32928,0.04678516407568489,0.018756755296152172,0.20761744232382784,0.5545736151603499,-0.06815821086261983,0.11997799484495147,33639,0.055678607147766415
