,random,rank:trend_score,rank:trend_score:asc,random_sub:0.2|random,pct:trend_score:0.2|rank:trend_score,pct:trend_score:0.5|rank:trend_score,young_golden:20|pct:trend_score:0.2|rank:trend_score,rank:er,rank:atr_pct
2022-09-21,161281.32006276632,173653.9820025183,167294.41268580558,150606.56471815243,188694.9736150737,182320.35902660646,188694.9736150737,169444.7722931606,168915.03441240647
2022-09-22,160198.82006276632,172202.84569751832,166171.0126858056,150329.3647181524,187903.1003350737,180796.00053660647,187903.1003350737,168305.7722931606,167781.23441240648
2022-09-23,159780.82006276632,171753.84569751832,165738.71268580557,149878.16471815243,187370.50033507368,180325.00053660647,187370.50033507368,167866.87229316062,167344.53441240647
2022-09-26,160221.69446276632,172232.99909751827,166198.16708580562,149498.11671815242,186977.92392067367,180829.44193660645,186977.92392067367,168332.3316931606,167807.79641240646
2022-09-27,162222.39446276633,174394.0990975183,169492.4670858056,151915.51671815242,189294.50312067365,183100.24193660647,189294.50312067365,170537.5316931606,169944.29641240646
2022-09-28,158698.18989876634,170609.6732245183,167070.90061180558,149257.52883215243,185993.53842987368,179126.05549820646,185993.53842987368,166834.32691616061,166210.01979240647
2022-09-29,158217.77369876634,170093.84982451831,166524.97961180558,148805.1638321524,184892.98560827365,178585.29449820647,184892.98560827365,166329.66828935445,165707.22019240647
2022-09-30,157944.87369876634,169750.84982451831,165825.27961180557,148162.36383215242,184518.58560827366,178224.79449820647,184518.58560827366,165766.560644053,164971.92019240648
2022-10-10,153079.81629596633,165505.76601491828,159830.05884760554,142662.3235011524,179905.64285707363,173771.77331500646,179905.64285707363,161007.58065754006,159015.7960466065
2022-10-11,151706.72693296632,164340.26601491828,159183.65884760555,142086.3235011524,178643.44285707365,172552.87331500647,178643.44285707365,160280.0035934444,158208.12033460647
2022-10-12,151378.4443541663,164069.1233705183,158612.28914440554,141758.01501315238,178425.15016387362,172268.36415460648,178425.15016387362,159785.20795440782,157640.05112652614
2022-10-13,151230.84435416633,164553.8233705183,158960.68914440554,141760.70685932395,179352.71016387365,172770.5641546065,179352.71016387365,159303.3005259342,156973.5801017282
2022-10-14,157167.2443541663,169056.2233705183,163449.88914440555,145082.56877091312,184468.81016387366,177473.46415460645,184468.81016387366,161616.9708448916,159856.54289348057
2022-10-17,156405.14435416632,168843.2233705183,163086.48914440555,146856.35781711468,185067.71016387365,177246.2641546065,185067.71016387365,160845.47026948823,158870.95766372303
2022-10-18,157704.0443541663,169979.6233705183,163765.18914440554,146140.6952286263,185823.71016387365,178437.46415460645,185823.71016387365,161600.13752469234,159850.27186868264
2022-10-19,157453.5443541663,168175.42337051829,162606.18914440554,145321.0590978511,183604.41016387366,176545.7641546065,183604.41016387366,160119.2606774245,158690.00084388469
2022-10-20,154648.24435416632,166231.72857051832,160689.68914440554,145527.9590978511,182997.82936387366,174499.83730460648,182997.82936387366,157083.56816194535,154995.59487197065
2022-10-21,154234.84435416633,165963.42857051833,159954.48914440552,145858.1868363007,183177.62936387365,174215.73730460647,183177.62936387365,156517.83130679707,154368.16646205148
2022-10-24,151019.24435416632,163923.0910205183,156964.77694440554,143779.42424781233,181306.93371387367,172080.36875460646,181306.93371387367,155115.2548913522,152020.03083229397
2022-10-25,150543.57803708152,163863.0910205183,156608.72217589698,141661.38663199046,180333.43371387367,172026.66875460648,180333.43371387367,156434.52073951947,153490.65867693027
2022-10-26,152406.7145906832,165499.1910205183,157787.4102422988,145022.13748132542,183797.53371387365,173733.06875460647,183797.53371387365,157020.19051875142,154333.4510091676
2022-10-27,150678.48286748404,164129.5910205183,157081.12587549968,146073.43222876568,184044.93371387367,172296.9687546065,184044.93371387367,155903.51680845485,152838.39418932924
2022-10-28,148596.2744898857,162038.7370205183,154271.2898467015,142180.8021957956,181641.06651387364,170107.25595460652,181641.06651387364,153598.07272014764,149914.64030222417
2022-10-31,148693.8524274915,161503.29070371832,154707.2992791078,146140.89150998203,182526.75044987368,169541.3747642065,182526.75044987368,152898.96127694764,149639.07341662416
2022-11-01,148681.72914793226,161448.5073037183,157838.64201229118,150568.3669390372,183153.81644987364,169483.53556420648,183153.81644987364,152635.28904381653,149315.67137003472
2022-11-02,150608.63765565984,162436.60730371834,159101.3353837579,151309.0909699629,183739.41644987365,170516.63556420652,183739.41644987365,153482.07148969566,152599.39856102178
2022-11-03,149879.60179703272,161886.90730371833,159056.70929736338,148617.5172742931,182006.21644987364,169939.03556420654,182006.21644987364,153774.2756601291,150797.3677445698
2022-11-04,154341.90111769864,164365.80730371832,162615.622455004,153015.96101640514,184008.31644987364,172534.33556420653,184008.31644987364,157080.7257294311,157246.64931753094
2022-11-07,155242.59765768825,164169.90730371833,164238.85180282863,154768.13331997127,184177.61644987366,172334.33556420653,184177.61644987366,157684.77586746152,158967.09101037777
2022-11-08,154447.3089155894,163700.2073037183,163743.18051529222,154950.11508676867,184518.21644987364,171846.03556420648,184518.21644987364,157898.0888149554,156963.68194671543
2022-11-09,153170.60335579317,164051.6073037183,163552.61644309066,153380.34764519965,184436.01644987366,172222.9355642065,184436.01644987366,157525.11580976684,154502.7420666011
2022-11-10,151740.7171418585,163932.90730371833,162434.5519979569,151792.73599556572,183864.21644987367,172101.13556420652,183864.21644987367,156672.78877217518,153196.91306288156
2022-11-11,154731.95584892877,164145.71010371833,165686.76121024686,155519.98152861118,183959.55564987366,172328.5579642065,183959.55564987366,157552.22769180124,158282.40732497
2022-11-14,154693.49365402714,161899.49572871832,164998.3315183466,156024.99781743324,183410.01187487366,169970.2325642065,183410.01187487366,155134.9149212148,159391.4254522947
2022-11-15,158246.5711121136,163144.2957287183,168018.27318351628,160241.32938421282,185121.41867487365,171275.90776420652,185121.41867487365,156959.80072858653,164150.80702525587
2022-11-16,156710.00176534738,162996.99572871832,167180.05067184725,159437.84741309416,185003.01867487366,171123.40776420652,185003.01867487366,155518.5415542344,163942.00158705845
2022-11-17,156872.80176534737,162840.19572871833,166436.93266251206,160365.96544197554,185770.91867487365,170959.7077642065,185770.91867487365,155167.00509021233,163609.39614886104
2022-11-18,157373.80176534737,163181.2957287183,166722.00564850925,160573.42281381733,186335.81867487365,171316.8077642065,186335.81867487365,155600.65039417916,163864.28889793117
2022-11-21,156128.90176534737,161754.92595371834,166093.8056485093,159366.25558638235,185421.71867487367,169820.3103642065,185421.71867487367,155463.1503941792,161261.26128287398
2022-11-22,153793.00176534738,160754.32595371833,163339.46690434375,155746.91127591915,183687.71867487367,168771.4103642065,183687.71867487367,154132.27318419298,156835.5942117726
