kind,group_by,group,feature,target,days,mean_ic,ic_ir,pos_pct,concentration,half1,half2
event,year,2015,confidence,ret_net_pct,85,-0.06886636700389641,-0.1754846954527719,0.43529411764705883,0.11670732263974841,-0.032954231337016957,-0.10394333672503447
event,year,2016,confidence,ret_net_pct,90,-0.013338019198952663,-0.03350223982061824,0.4888888888888889,0.11962668509921362,0.06025836007416085,-0.08693439847206617
event,year,2017,confidence,ret_net_pct,120,-0.0072380322171396085,-0.017988781686939077,0.48333333333333334,0.12821479558702054,0.006713221426059281,-0.021189285860338487
event,year,2018,confidence,ret_net_pct,108,-0.06366914597825953,-0.16724148992006593,0.4444444444444444,0.11626084683636347,-0.08529302206577913,-0.04204526989073993
event,year,2019,confidence,ret_net_pct,125,-0.008262842558337742,-0.022649455961331638,0.488,0.14501999823058623,0.021650917884333744,-0.03770178140668111
event,year,2020,confidence,ret_net_pct,208,0.02661012498585408,0.08953128713843853,0.5480769230769231,0.15323652067911236,0.025119875196609402,0.028100374775098764
event,year,2021,confidence,ret_net_pct,236,-0.04284598791472109,-0.16468835938441917,0.423728813559322,0.14988200323655812,-0.027653579219838735,-0.058038396609603436
event,year,2022,confidence,ret_net_pct,224,-0.012202155058180572,-0.043613083416006296,0.5044642857142857,0.1531811618148353,-0.026753391668198172,0.0023490815518370256
event,year,2023,confidence,ret_net_pct,233,-0.038135664017431334,-0.13136238946412426,0.45493562231759654,0.1355085984427742,-0.014186695845605024,-0.061879940153601
event,year,2024,confidence,ret_net_pct,217,-0.005523448692802921,-0.01891123262185924,0.45161290322580644,0.15044187585772878,0.028093881749908914,-0.03883236325989353
event,year,2025,confidence,ret_net_pct,233,-0.04498656434109223,-0.18949460095867832,0.4291845493562232,0.14265708517921108,-0.03787796883117479,-0.052034402624429175
event,year,2026,confidence,ret_net_pct,163,0.03164640759173859,0.09372114084506773,0.558282208588957,0.15451063126732975,0.0006436641937168806,0.062271068753199044
event,year,2015,confidence,fwd20,85,-0.08416880623680685,-0.1894372001376575,0.4,0.11518453505149301,-0.03085102710172419,-0.13624663701991083
event,year,2016,confidence,fwd20,90,0.015649289496093614,0.043977560065860795,0.5,0.138376245545658,0.026349186028488746,0.004949392963698503
event,year,2017,confidence,fwd20,120,0.017577771737718084,0.04389470158577716,0.5166666666666667,0.14524416940199072,0.04397420718187077,-0.008818663706434613
event,year,2018,confidence,fwd20,108,-0.04066564626165388,-0.10364556344063736,0.4722222222222222,0.13831214125608293,-0.04120568735680487,-0.04012560516650289
event,year,2019,confidence,fwd20,125,-0.008636153317816085,-0.022892395321761187,0.528,0.13656156077522583,-0.0407782918122042,0.022995792502057914
event,year,2020,confidence,fwd20,208,0.011778329972503084,0.04229484999847498,0.5144230769230769,0.1562615135957358,-0.00424556956460638,0.027802229509612548
event,year,2021,confidence,fwd20,236,-0.01867731787467293,-0.06859181152786954,0.4406779661016949,0.14777842416257148,-0.007202155286587666,-0.0301524804627582
event,year,2022,confidence,fwd20,224,-0.015441816298920677,-0.049317444340173336,0.4330357142857143,0.16498659168175475,0.003902288860837294,-0.03478592145867865
event,year,2023,confidence,fwd20,233,0.009633983213931455,0.033490949195967755,0.4892703862660944,0.15265528357101943,0.020016789900970805,-0.0006600815356118311
event,year,2024,confidence,fwd20,217,-0.02269385910735621,-0.07751408739249598,0.43317972350230416,0.14854211229238468,-0.0035282741907615924,-0.041683612969670124
event,year,2025,confidence,fwd20,233,-0.038751523166525685,-0.15108826985247562,0.4592274678111588,0.14724107556161437,-0.05645958349390701,-0.021194813782113426
event,year,2026,confidence,fwd20,144,0.060946336830145956,0.2022601332674717,0.6041666666666666,0.14197861151716068,0.03762826001637766,0.08426441364391425
event,year,2015,er,ret_net_pct,85,-0.053067189541499284,-0.13090966622850814,0.43529411764705883,0.1231752543483016,-0.04541539215740704,-0.060541038149217276
event,year,2016,er,ret_net_pct,90,0.00196674447160931,0.005005563214962359,0.5,0.12327952078770865,0.05161114632835972,-0.047677657385141105
event,year,2017,er,ret_net_pct,120,0.012673788326977601,0.031499098426228674,0.5166666666666667,0.12971589297849717,0.021663034501920784,0.0036845421520343997
event,year,2018,er,ret_net_pct,108,-0.046646509275198436,-0.12239650667749286,0.46296296296296297,0.11842236358823165,-0.06293653456644992,-0.030356483983946973
event,year,2019,er,ret_net_pct,125,-0.01453798321732707,-0.04095640164498514,0.496,0.14399540183213796,0.02289741789016301,-0.051379171608825255
event,year,2020,er,ret_net_pct,208,0.024512813568426887,0.08241754467632488,0.5384615384615384,0.14514614431696338,0.027427688934945713,0.021597938201908064
event,year,2021,er,ret_net_pct,236,-0.050754730883104525,-0.19706906960448176,0.4364406779661017,0.15841040738279966,-0.02952832526149697,-0.07198113650471209
event,year,2022,er,ret_net_pct,224,-0.01074014734016963,-0.0370046338348611,0.45089285714285715,0.15258588416515248,-0.03408447631907922,0.012604181638739954
event,year,2023,er,ret_net_pct,233,-0.04402549646889333,-0.1492589880612586,0.41201716738197425,0.14394024584737153,-0.010607748224017855,-0.07715762293389807
event,year,2024,er,ret_net_pct,217,0.006651525137798113,0.02315169853253361,0.4976958525345622,0.1511501887263457,0.03695932191710149,-0.02337821846004376
event,year,2025,er,ret_net_pct,233,-0.041722324603521085,-0.1755804835548185,0.45493562231759654,0.1452619791103557,-0.029572236593773,-0.05376856570720295
event,year,2026,er,ret_net_pct,163,0.05324023185666047,0.16180131066967335,0.5705521472392638,0.15071705292726864,0.02007880934965169,0.08599724677212037
event,year,2015,er,fwd20,85,-0.082833701449175,-0.18574762309433543,0.4470588235294118,0.11894940923963955,-0.041309513729374144,-0.12339221038479443
event,year,2016,er,fwd20,90,0.019719840658282223,0.058331572477913485,0.4888888888888889,0.1441272816157958,0.012480373569384397,0.02695930774718006
event,year,2017,er,fwd20,120,0.030709835274781123,0.0723083799034065,0.55,0.1253273238876799,0.05631337076059994,0.005106299788962321
event,year,2018,er,fwd20,108,-0.03304874052539141,-0.08629990335187813,0.46296296296296297,0.14691689744937025,-0.021710278214236108,-0.04438720283654673
event,year,2019,er,fwd20,125,-0.007663727356263741,-0.020146418368328423,0.512,0.13342158111516014,-0.02384205352873022,0.008257799988068335
event,year,2020,er,fwd20,208,0.012859781823913286,0.045121402108300075,0.5144230769230769,0.15197639527796078,-0.01000646460073339,0.035726028248559964
event,year,2021,er,fwd20,236,-0.028053399167092482,-0.10222331678818859,0.4279661016949153,0.14632001444973572,-0.009639762262970968,-0.046467036071214
event,year,2022,er,fwd20,224,-0.016055368355314046,-0.052883571772301276,0.42857142857142855,0.1593458348655271,-0.0012402279289300822,-0.03087050878169801
event,year,2023,er,fwd20,233,0.012124043765201566,0.04101735302891827,0.5107296137339056,0.1527455087213908,0.0319614091900724,-0.007543771527832768
event,year,2024,er,fwd20,217,-0.014412247220472421,-0.04994179902391451,0.4377880184331797,0.15048168412935556,-0.0010680288867866762,-0.027634041532748198
event,year,2025,er,fwd20,233,-0.04311534302220491,-0.1739769331847944,0.44206008583690987,0.1419134157092713,-0.05722649711118022,-0.029124797087836246
event,year,2026,er,fwd20,144,0.07381589541477279,0.24719857943206813,0.5902777777777778,0.14534481553302558,0.04946050081893533,0.09817129001061026
event,year,2015,vol_ratio,ret_net_pct,85,-0.024807775328160465,-0.06268521470600497,0.4823529411764706,0.12079846903185082,-0.010082900677193312,-0.03919021103375627
event,year,2016,vol_ratio,ret_net_pct,90,-0.016303585080131022,-0.043271010377443624,0.5111111111111111,0.13299765059746577,0.004689275801000127,-0.03729644596126218
event,year,2017,vol_ratio,ret_net_pct,120,-0.02075829596663376,-0.0570280224184184,0.4583333333333333,0.12840582538093245,-0.0017772265514872673,-0.03973936538178024
event,year,2018,vol_ratio,ret_net_pct,108,-0.06592763166728724,-0.18134120250956343,0.3888888888888889,0.14461728934496826,-0.0831747987992402,-0.04868046453533427
event,year,2019,vol_ratio,ret_net_pct,125,-0.04042276236698778,-0.11413869623640986,0.448,0.1432045011521846,-0.010056652115144555,-0.07030687086880175
event,year,2020,vol_ratio,ret_net_pct,208,-0.018013162744903114,-0.0620407024683945,0.49038461538461536,0.14967527757049842,-0.0355410287056999,-0.0004852967841063316
event,year,2021,vol_ratio,ret_net_pct,236,0.01982232464412709,0.07512472877209854,0.5127118644067796,0.17774939206816676,0.03656763589132369,0.0030770133969304793
event,year,2022,vol_ratio,ret_net_pct,224,-0.0012031638056474903,-0.00433728428646483,0.48214285714285715,0.15086671780535546,-0.0038801166137404502,0.0014737890024454695
event,year,2023,vol_ratio,ret_net_pct,233,-0.005378494974310008,-0.018492709956054745,0.5021459227467812,0.14012613685726802,0.006778454866374415,-0.017431539260800533
event,year,2024,vol_ratio,ret_net_pct,217,-0.035127077093242046,-0.12663935653564404,0.4423963133640553,0.1615507022307004,-0.027972739439643887,-0.04221577862157784
event,year,2025,vol_ratio,ret_net_pct,233,-0.010095225188510292,-0.039310681487678266,0.4678111587982833,0.16489046256234055,-0.020762746863775255,0.00048112108782078465
event,year,2026,vol_ratio,ret_net_pct,163,-0.06538692671701103,-0.23319661190410856,0.4294478527607362,0.14691452411947933,-0.04954330854526159,-0.08103733003300742
event,year,2015,vol_ratio,fwd20,85,-0.047374938052814106,-0.10646497291045656,0.4588235294117647,0.11041251077066284,0.008979177542048905,-0.10241849281988961
event,year,2016,vol_ratio,fwd20,90,-0.021077723166957982,-0.053620169393702254,0.5222222222222223,0.12066496211202725,0.0028213716499124494,-0.044976817983828445
event,year,2017,vol_ratio,fwd20,120,-0.02217025238324167,-0.05643943339408833,0.45,0.14143666381803735,0.013660350587313188,-0.05800085535379653
event,year,2018,vol_ratio,fwd20,108,-0.04927196411928461,-0.14711695506693523,0.4537037037037037,0.14471454629004915,-0.01939283007323698,-0.07915109816533226
event,year,2019,vol_ratio,fwd20,125,-0.08415335205358788,-0.24045861206863234,0.392,0.13891777203802091,-0.07304398010064883,-0.0950863847691787
event,year,2020,vol_ratio,fwd20,208,-0.029266914224432356,-0.10335451183717091,0.5096153846153846,0.1661189607613971,-0.03772379177907188,-0.02081003666979283
event,year,2021,vol_ratio,fwd20,236,0.029149089755949997,0.11483086380395413,0.5169491525423728,0.16603608094823338,0.036719847856860534,0.02157833165503946
event,year,2022,vol_ratio,fwd20,224,-0.03283199613297334,-0.10482053455394777,0.45089285714285715,0.16338119693963868,-0.01797848600490055,-0.04768550626104614
event,year,2023,vol_ratio,fwd20,233,-0.018789076471485838,-0.06841002039234959,0.5150214592274678,0.1456102806087071,-0.021622572875713984,-0.015979797985242558
event,year,2024,vol_ratio,fwd20,217,-0.02964224631841855,-0.10142075130682975,0.4470046082949309,0.15871212614796548,0.00974173982225155,-0.06866491148532104
event,year,2025,vol_ratio,fwd20,233,0.022798118310942687,0.08549217895622033,0.5278969957081545,0.1525549599169753,0.0015991223069973396,0.04381592631485431
event,year,2026,vol_ratio,fwd20,144,-0.03138306663892775,-0.12128924643429556,0.4305555555555556,0.1605975258726285,-0.004237153925997393,-0.058528979351858114
event,year,2015,bias_atr,ret_net_pct,85,-0.07147924713956087,-0.18860414580734047,0.43529411764705883,0.1266433728288952,0.010399426555705997,-0.1514537656326122
event,year,2016,bias_atr,ret_net_pct,90,-0.023094916244380218,-0.06379617225568458,0.4222222222222222,0.12963073991654897,-0.11289055100685198,0.06670071851809155
event,year,2017,bias_atr,ret_net_pct,120,-0.02896488580662323,-0.0741721379557763,0.48333333333333334,0.14485550606531217,-0.019822828676582145,-0.038106942936664306
event,year,2018,bias_atr,ret_net_pct,108,-0.09818921380122755,-0.2699763230415797,0.4074074074074074,0.11598365563903815,-0.12756380443993348,-0.06881462316252161
event,year,2019,bias_atr,ret_net_pct,125,-0.031221695243836257,-0.0853086325464357,0.48,0.14175211555034872,-0.0163030894192612,-0.045903497801354526
event,year,2020,bias_atr,ret_net_pct,208,0.05605477864389025,0.1809594559601855,0.5961538461538461,0.1634826156526024,0.03554972013220121,0.0765598371555793
event,year,2021,bias_atr,ret_net_pct,236,-0.08654348411130683,-0.31690698788237204,0.3389830508474576,0.1361621323678643,-0.025705664982381995,-0.1473813032402317
event,year,2022,bias_atr,ret_net_pct,224,-0.09384104350282758,-0.3012549880915766,0.4017857142857143,0.1516068234259068,-0.08976509353094982,-0.09791699347470535
event,year,2023,bias_atr,ret_net_pct,233,-0.04071240649888751,-0.1252437888491553,0.4592274678111588,0.14163109362990453,-0.05207593982001363,-0.02944599739418125
event,year,2024,bias_atr,ret_net_pct,217,0.007972852118223293,0.023707373949446962,0.5069124423963134,0.13495721534853145,0.06831045166991107,-0.05181119147427468
event,year,2025,bias_atr,ret_net_pct,233,-0.02928277200450467,-0.10771923141507471,0.44635193133047213,0.15157932204074945,-0.03702454638713547,-0.021607166633691225
event,year,2026,bias_atr,ret_net_pct,163,-0.035959539256038626,-0.10733157286433564,0.4601226993865031,0.13306110277536226,-0.007035953617609535,-0.06453039824034054
